0.900 1.000 0.999800 0.999800 0.000000
0.900 1.000 1.000000 1.000000 0.000000
0.900 0.999 0.998900 0.998900 0.000000
0.900 0.999 0.998600 0.998600 0.000000
0.900 1.000 0.999600 0.999600 0.000000
0.900 1.000 0.999600 0.999600 0.000000
0.900 1.000 1.000000 1.000000 0.000000
0.900 1.000 0.999700 0.999700 0.000000
0.900 1.000 0.999600 0.999600 0.000000
0.900 1.000 1.000000 1.000000 0.000000
0.900 0.999 0.998800 0.998800 0.000000
0.900 1.000 1.000000 1.000000 0.000000
0.900 0.999 0.998800 0.998800 0.000000
0.900 1.000 1.000000 1.000000 0.000000
0.900 1.000 1.000000 1.000000 0.000000
0.900 1.000 0.999600 0.999600 0.000000
0.900 0.999 0.998900 0.998900 0.000000
0.900 1.000 0.999600 0.999600 0.000000
0.900 1.000 0.999800 0.999800 0.000000
0.900 0.998 0.998400 0.998400 0.000000
0.900 1.000 0.999700 0.999700 0.000000
0.900 1.000 0.999600 0.999600 0.000000
0.900 0.999 0.999200 0.999200 0.000000
0.900 0.999 0.999400 0.999400 0.000000
0.900 0.999 0.999000 0.999000 0.000000
0.900 1.000 1.000000 1.000000 0.000000
0.900 1.000 0.999600 0.999600 0.000000
