#t p q a dW
10.7 -0.415446 -0.580301 0.548276 -1.49073
10.8 -0.358974 -0.619048 0.58026 -1.05741
10.9 -0.299577 -0.651998 0.606776 -1.23287
11 -0.237797 -0.678884 0.627925 -0.241217
11.1 -0.174166 -0.699496 0.643832 0.63171
11.2 -0.109202 -0.713673 0.654615 -1.25685
11.3 -0.0434109 -0.721309 0.660368 0.536225
11.4 0.0227061 -0.722345 0.661145 -0.437939
11.5 0.0886527 -0.716773 0.656955 -0.297757
11.6 0.15393 -0.704636 0.647757 -0.486466
11.7 0.218034 -0.686026 0.633467 1.04261
11.8 0.28045 -0.661086 0.613974 1.72464
11.9 0.340652 -0.63001 0.589153 0.108565
12 0.398099 -0.593047 0.55889 0.535409
12.1 0.452246 -0.5505 0.523113 0.718643
12.2 0.502538 -0.502726 0.481816 -0.57378
12.3 0.548428 -0.450139 0.435091 -0.0398008
12.4 0.589382 -0.393205 0.383151 1.21247
12.5 0.624896 -0.332444 0.326354 0.417543
12.6 0.654508 -0.268423 0.265211 -0.334287
12.7 0.677815 -0.201753 0.200387 -0.381486
12.8 0.694489 -0.133081 0.132689 -0.559814
12.9 0.704288 -0.0630841 0.0630423 0.0719526
13 0.707067 0.00754246 -0.00754239 0.951366
13.1 0.702783 0.0780937 -0.0780144 -0.79318
13.2 0.691502 0.147866 -0.147328 -0.642326
13.3 0.67339 0.216166 -0.214487 -1.62369
13.4 0.648707 0.282325 -0.278589 -0.196044
13.5 0.6178 0.3457 -0.338856 -0.636382
13.6 0.581085 0.405691 -0.394654 -0.0288507
13.7 0.539034 0.461739 -0.445506 -1.13729
13.8 0.49216 0.513337 -0.491087 0.404461
13.9 0.440999 0.560028 -0.53121 1.2508
14 0.386102 0.601412 -0.565808 2.32543
14.1 0.328021 0.637143 -0.594901 0.844806
14.2 0.267302 0.666929 -0.618576 -0.627384
14.3 0.204483 0.690533 -0.636948 0.857161
14.4 0.140085 0.707773 -0.650143 1.89116
14.5 0.074623 0.718515 -0.658267 -0.865651
14.6 0.00859837 0.722678 -0.661396 0.694412
14.7 -0.0574908 0.720232 -0.659559 -1.26881
14.8 -0.123147 0.711195 -0.652739 0.11311
14.9 -0.18787 0.695634 -0.640872 -0.813894
15 -0.25115 0.673669 -0.623857 1.13371
15.1 -0.312466 0.645469 -0.601573 -0.930156
15.2 -0.371285 0.611259 -0.573899 -0.271207
15.3 -0.427063 0.571314 -0.540738 0.701673
15.4 -0.479248 0.525966 -0.502048 0.695207
15.5 -0.52729 0.475602 -0.457874 1.0561
15.6 -0.570645 0.420664 -0.408367 0.37543
15.7 -0.608795 0.361647 -0.353815 2.1888
15.8 -0.641254 0.299095 -0.294655 -1.08456
15.9 -0.667592 0.2336 -0.231481 0.785105
16 -0.687441 0.165793 -0.165034 -0.52919
16.1 -0.700519 0.0963374 -0.0961884 -0.882752
16.2 -0.706632 0.0259213 -0.0259184 -0.386972
16.3 -0.705689 -0.0447537 0.0447387 0.901417
16.4 -0.697706 -0.114982 0.114729 0.435638
16.5 -0.6828 -0.184064 0.183026 1.32393
16.6 -0.661189 -0.251318 0.248681 -0.460434
16.7 -0.63318 -0.316089 0.310851 -0.71285
16.8 -0.599159 -0.377754 0.368834 0.217662
16.9 -0.559572 -0.435735 0.422077 -0.0964052
17 -0.514915 -0.489499 0.470184 0.786343
17.1 -0.465715 -0.538566 0.512906 -1.02301
17.2 -0.412517 -0.582509 0.550121 0.34905
17.3 -0.355875 -0.620955 0.581812 0.53541
17.4 -0.296337 -0.653587 0.608038 0.708579
17.5 -0.234446 -0.680144 0.628905 -1.34199
17.6 -0.170731 -0.700416 0.644535 -1.60688
17.7 -0.105709 -0.714246 0.655048 0.642183
17.8 -0.0398884 -0.721531 0.660535 -0.0721362
17.9 0.026232 -0.722214 0.661048 0.463493
18 0.0921555 -0.716291 0.656592 0.258856
18.1 0.157383 -0.703806 0.647124 -0.0215946
18.2 0.22141 -0.684854 0.63256 -0.760587
18.3 0.283722 -0.659581 0.612786 -2.49388
18.4 0.34379 -0.628185 0.587677 -1.83704
18.5 0.401076 -0.590916 0.557122 1.32068
18.6 0.45503 -0.548081 0.52105 0.462509
18.7 0.505101 -0.500039 0.47946 0.239873
18.8 0.550741 -0.447208 0.43245 -1.08674
18.9 0.591418 -0.390057 0.380241 1.302
19 0.626628 -0.329107 0.323198 0.399613
19.1 0.655913 -0.264928 0.26184 -1.45727
19.2 0.678875 -0.198135 0.196841 0.221609
19.3 0.695187 -0.129375 0.129015 -0.682549
19.4 0.704614 -0.059327 0.0592922 0.159136
19.5 0.707016 0.0113134 -0.0113132 -0.623555
19.6 0.702357 0.0818408 -0.0817495 -0.0204447
19.7 0.690707 0.151552 -0.150972 -1.22259
19.8 0.672236 0.219755 -0.21799 0.306113
19.9 0.647212 0.285781 -0.281906 -1.31796
20 0.615984 0.34899 -0.341949 0.188203
20.1 0.578973 0.408785 -0.397494 0.357683
20.2 0.536651 0.464608 -0.448072 -0.0493156
20.3 0.489534 0.515955 -0.493366 0.327857
20.4 0.43816 0.562373 -0.533195 2.98638
20.5 0.38308 0.603464 -0.567498 -0.85119
20.6 0.324844 0.638884 -0.5963 -0.172039
20.7 0.264 0.668345 -0.619688 -0.576706
20.8 0.201083 0.691615 -0.637782 0.948369
20.9 0.136616 0.70851 -0.650703 -0.286962
21 0.0711114 0.718903 -0.65856 -1.40922
21.1 0.00507078 0.722715 -0.661423 -0.57387
21.2 -0.0610079 0.719916 -0.659322 0.38485
21.3 -0.126627 0.710529 -0.652235 0.516763
21.4 -0.191286 0.694623 -0.640096 0.548598
21.5 -0.254475 0.67232 -0.622803 -0.814291
21.6 -0.315671 0.643794 -0.600234 -1.93453
21.7 -0.374342 0.60927 -0.572269 0.500483
21.8 -0.429942 0.569028 -0.538814 -1.69921
21.9 -0.48192 0.523403 -0.49983 0.123287
22 -0.529725 0.472783 -0.455366 -0.27861
22.1 -0.572816 0.417615 -0.405581 0.810224
22.2 -0.610674 0.358395 -0.350771 0.824211
22.3 -0.642817 0.295671 -0.291381 -0.00103246
22.4 -0.668817 0.230036 -0.228013 0.0555749
22.5 -0.688312 0.162124 -0.161415 0.417833
22.6 -0.701022 0.0925999 -0.0924676 -2.33612
22.7 -0.70676 0.0221522 -0.0221503 -0.147157
