#t p q a dW
0 1 0 -0 1.97785
0.1 0.995008 0.0998335 -0.0996678 1.52724
0.2 0.980132 0.198672 -0.197368 1.01441
0.3 0.955662 0.29554 -0.291256 0.373157
0.4 0.922062 0.3895 -0.379726 -0.144327
0.5 0.879941 0.479668 -0.461485 1.15064
0.6 0.83002 0.565228 -0.535608 -0.427958
0.7 0.773093 0.645439 -0.601549 0.348937
0.8 0.70999 0.719641 -0.659115 -2.57999
0.9 0.641545 0.787259 -0.708421 0.495443
1 0.568569 0.847799 -0.749826 -1.14748
1.1 0.491826 0.900847 -0.783853 -1.9033
1.2 0.412024 0.946062 -0.811119 1.07355
1.3 0.329806 0.983171 -0.83226 -0.577956
1.4 0.245756 1.01196 -0.847874 0.697956
1.5 0.160399 1.03228 -0.85847 -0.0582329
1.6 0.0742164 1.04401 -0.86443 0.665885
1.7 -0.0123404 1.04711 -0.865982 0.805802
1.8 -0.0988352 1.04155 -0.863187 0.811343
1.9 -0.184829 1.02736 -0.855937 -0.780807
2 -0.269865 1.00461 -0.843955 -0.977184
2.1 -0.353449 0.973435 -0.826822 -0.36434
2.2 -0.43504 0.933991 -0.804 -1.1328
2.3 -0.514039 0.886513 -0.774872 -0.338991
2.4 -0.589783 0.831292 -0.738803 0.752654
2.5 -0.661548 0.768689 -0.695193 0.207755
2.6 -0.728554 0.699141 -0.64356 -0.240989
2.7 -0.789982 0.623164 -0.583607 -2.70665
2.8 -0.844997 0.541358 -0.515301 -1.62274
2.9 -0.892773 0.454406 -0.438929 0.990324
3 -0.932535 0.363071 -0.355147 -0.464402
3.1 -0.963589 0.26819 -0.264986 0.306309
3.2 -0.985365 0.170662 -0.169835 0.035619
3.3 -0.997446 0.0714398 -0.071379 -0.485892
3.4 -0.999594 -0.0284955 0.0284916 0.72706
3.5 -0.991767 -0.128146 0.127796 -0.501103
3.6 -0.974119 -0.226521 0.224589 -2.38308
3.7 -0.946992 -0.322654 0.317085 0.160287
3.8 -0.910896 -0.415621 0.403758 0.947583
3.9 -0.866475 -0.504556 0.483418 0.796841
4 -0.814474 -0.588663 0.555249 0.925327
4.1 -0.755701 -0.667225 0.618808 -0.482954
4.2 -0.690992 -0.739605 0.673996 -0.874726
4.3 -0.621175 -0.805253 0.721006 1.103
4.4 -0.54705 -0.863697 0.760249 -0.387271
4.5 -0.469365 -0.914544 0.792285 1.11819
4.6 -0.388812 -0.957474 0.81774 0.0421303
4.7 -0.306015 -0.992232 0.837248 0.0516823
4.8 -0.221541 -1.01862 0.851386 0.190971
4.9 -0.135901 -1.0365 0.860628 0.739341
5 -0.0495672 -1.04578 0.865315 1.33364
5.1 0.0370161 -1.04641 0.86563 0.230861
5.2 0.123414 -1.03838 0.861584 0.716967
5.3 0.209182 -1.02174 0.85302 0.14838
5.4 0.293856 -0.996582 0.839619 -0.716867
5.5 0.37693 -0.963027 0.820924 -1.45972
5.6 0.457846 -0.921267 0.796369 0.310039
5.7 0.535987 -0.87155 0.765327 -0.939262
5.8 0.610674 -0.814185 0.727166 -0.119645
5.9 0.681164 -0.749555 0.681313 0.0845603
6 0.746665 -0.678118 0.627329 -1.31848
6.1 0.806351 -0.600416 0.564985 1.29282
6.2 0.859385 -0.51707 0.494335 0.545724
6.3 0.904954 -0.428788 0.415768 1.68678
6.4 0.9423 -0.336353 0.330047 -0.693119
6.5 0.970762 -0.240624 0.238309 -0.24625
6.6 0.98981 -0.142515 0.142033 -0.191649
6.7 0.999076 -0.0429881 0.0429748 -2.15477
6.8 0.998376 0.0569679 -0.056937 1.17428
6.9 0.987726 0.156355 -0.155719 -0.0884357
7 0.967334 0.254188 -0.25146 -1.2807
7.1 0.937593 0.34951 -0.342438 0.392913
7.2 0.899054 0.441413 -0.427218 0.121678
7.3 0.852393 0.52905 -0.504714 -1.09076
7.4 0.798378 0.611647 -0.574216 1.97944
7.5 0.737828 0.688508 -0.635386 -3.33896
