#t p q a dW Et
167.38 -1.23929 -0.695202 0.64054 0 1
167.39 -1.23284 -0.707562 0.649983 0 1
167.4 -1.22629 -0.719858 0.659278 0 1
167.41 -1.21966 -0.732088 0.668424 0 1
167.42 -1.21293 -0.744251 0.677421 -0 1
167.43 -1.20611 -0.756346 0.686269 0 1
167.44 -1.1992 -0.768373 0.694966 -0 1
167.45 -1.19221 -0.78033 0.703514 0 1
167.46 -1.18513 -0.792217 0.711912 -0 1
167.47 -1.17797 -0.804032 0.72016 -0 1
167.48 -1.17073 -0.815776 0.728258 -0 1
167.49 -1.16341 -0.827447 0.736206 0 1
167.5 -1.15601 -0.839044 0.744005 0 1
167.51 -1.14853 -0.850567 0.751654 -0 1
167.52 -1.14097 -0.862014 0.759155 -0 1
167.53 -1.13334 -0.873386 0.766508 0 1
167.54 -1.12564 -0.884681 0.773713 0 1
167.55 -1.11787 -0.895898 0.780771 0 1
167.56 -1.11003 -0.907038 0.787682 -0 1
167.57 -1.10212 -0.918099 0.794448 0 1
167.58 -1.09414 -0.92908 0.80107 0 1
167.59 -1.0861 -0.939981 0.807547 0 1
167.6 -1.07799 -0.950802 0.813882 0 1
167.61 -1.06982 -0.961541 0.820074 0 1
167.62 -1.06159 -0.972198 0.826126 0 1
167.63 -1.0533 -0.982773 0.832039 0 1
167.64 -1.04495 -0.993264 0.837812 0 1
167.65 -1.03654 -1.00367 0.843449 0 1
167.66 -1.02808 -1.01399 0.84895 -0 1
167.67 -1.01956 -1.02423 0.854316 0 1
167.68 -1.01099 -1.03439 0.859549 -0 1
167.69 -1.00237 -1.04445 0.86465 0 1
167.7 -0.993701 -1.05443 0.86962 -0 1
167.71 -0.984981 -1.06433 0.874462 0 1
167.72 -0.976213 -1.07413 0.879177 -0 1
167.73 -0.967398 -1.08385 0.883766 -0 1
167.74 -0.958538 -1.09348 0.888231 0 1
167.75 -0.949633 -1.10302 0.892574 -0 1
167.76 -0.940687 -1.11247 0.896795 0 1
167.77 -0.931698 -1.12183 0.900898 -0 1
167.78 -0.922669 -1.13111 0.904884 0 1
167.79 -0.913601 -1.14029 0.908754 0 1
167.8 -0.904494 -1.14938 0.91251 0 1
167.81 -0.895351 -1.15838 0.916154 -0 1
167.82 -0.886172 -1.16729 0.919688 -0 1
167.83 -0.876957 -1.1761 0.923114 0 1
167.84 -0.86771 -1.18482 0.926433 0 1
167.85 -0.858429 -1.19346 0.929648 -0 1
167.86 -0.849117 -1.20199 0.932759 0 1
167.87 -0.839774 -1.21044 0.93577 0 1
167.88 -0.830402 -1.21879 0.938682 -0 1
167.89 -0.821001 -1.22705 0.941497 0 1
167.9 -0.811572 -1.23521 0.944217 0 1
167.91 -0.802117 -1.24328 0.946843 0 1
167.92 -0.792636 -1.25125 0.949378 -0 1
167.93 -0.78313 -1.25913 0.951824 -0 1
167.94 -0.7736 -1.26691 0.954182 -0 1
167.95 -0.764046 -1.2746 0.956454 -0 1
167.96 -0.754471 -1.28219 0.958643 -0 1
167.97 -0.744874 -1.28969 0.960749 -0 1
167.98 -0.735256 -1.29709 0.962776 0 1
167.99 -0.725619 -1.3044 0.964725 -0 1
168 -0.715962 -1.3116 0.966597 -0 1
168.01 -0.706287 -1.31871 0.968395 0 1
168.02 -0.696594 -1.32573 0.970121 -0 1
168.03 -0.686885 -1.33265 0.971776 0 1
168.04 -0.677159 -1.33947 0.973362 0 1
168.05 -0.667418 -1.34619 0.974882 -0 1
168.06 -0.657661 -1.35282 0.976336 0 1
168.07 -0.647891 -1.35934 0.977727 0 1
168.08 -0.638107 -1.36577 0.979056 0 1
168.09 -0.62831 -1.3721 0.980326 0 1
168.1 -0.618501 -1.37834 0.981537 -0 1
168.11 -0.60868 -1.38447 0.982692 -0 1
168.12 -0.598847 -1.39051 0.983793 -0 1
168.13 -0.589004 -1.39645 0.98484 -0 1
168.14 -0.579151 -1.40229 0.985837 0 1
168.15 -0.569287 -1.40803 0.986784 -0 1
168.16 -0.559415 -1.41368 0.987682 -0 1
168.17 -0.549534 -1.41922 0.988535 0 1
168.18 -0.539644 -1.42467 0.989342 0 1
168.19 -0.529747 -1.43002 0.990107 0 1
168.2 -0.519842 -1.43526 0.99083 -0 1
168.21 -0.509931 -1.44041 0.991512 -0 1
168.22 -0.500012 -1.44546 0.992156 0 1
168.23 -0.490088 -1.45041 0.992763 -0 1
168.24 -0.480157 -1.45526 0.993334 0 1
168.25 -0.470221 -1.46002 0.99387 -0 1
168.26 -0.46028 -1.46467 0.994374 0 1
168.27 -0.450334 -1.46922 0.994846 0 1
168.28 -0.440383 -1.47368 0.995287 0 1
168.29 -0.430428 -1.47803 0.9957 0 1
168.3 -0.420469 -1.48228 0.996085 -0 1
168.31 -0.410507 -1.48644 0.996444 0 1
168.32 -0.40054 -1.49049 0.996777 -0 1
168.33 -0.390571 -1.49445 0.997087 0 1
168.34 -0.380599 -1.49831 0.997374 -0 1
168.35 -0.370624 -1.50206 0.997639 -0 1
168.36 -0.360646 -1.50572 0.997883 0 1
168.37 -0.350666 -1.50927 0.998108 -0 1
168.38 -0.340684 -1.51273 0.998315 0 1
168.39 -0.3307 -1.51609 0.998504 0 1
168.4 -0.320714 -1.51935 0.998677 0 1
168.41 -0.310726 -1.5225 0.998834 0 1
168.42 -0.300737 -1.52556 0.998977 0 1
168.43 -0.290747 -1.52852 0.999106 -0 1
168.44 -0.280755 -1.53137 0.999223 -0 1
168.45 -0.270762 -1.53413 0.999328 -0 1
168.46 -0.260769 -1.53679 0.999422 0 1
168.47 -0.250774 -1.53935 0.999506 0 1
168.48 -0.240779 -1.54181 0.99958 0 1
168.49 -0.230782 -1.54416 0.999645 0 1
168.5 -0.220786 -1.54642 0.999703 0 1
168.51 -0.210788 -1.54858 0.999753 -0 1
168.52 -0.200791 -1.55064 0.999797 -0 1
168.53 -0.190793 -1.55259 0.999834 -0 1
168.54 -0.180794 -1.55445 0.999866 0 1
168.55 -0.170795 -1.55621 0.999894 0 1
168.56 -0.160796 -1.55787 0.999916 0 1
168.57 -0.150797 -1.55943 0.999935 -0 1
168.58 -0.140797 -1.56088 0.999951 -0 1
168.59 -0.130798 -1.56224 0.999963 -0 1
168.6 -0.120798 -1.5635 0.999973 0 1
168.61 -0.110798 -1.56466 0.999981 0 1
168.62 -0.100799 -1.56572 0.999987 -0 1
168.63 -0.0907987 -1.56667 0.999992 0 1
168.64 -0.0807988 -1.56753 0.999995 -0 1
168.65 -0.0707988 -1.56829 0.999997 0 1
168.66 -0.0607988 -1.56895 0.999998 -0 1
168.67 -0.0507988 -1.56951 0.999999 -0 1
168.68 -0.0407988 -1.56996 1 0 1
168.69 -0.0307988 -1.57032 1 -0 1
168.7 -0.0207988 -1.57058 1 -0 1
168.71 -0.0107988 -1.57074 1 -0 1
168.72 -0.000798847 -1.5708 1 -0 1
168.73 0.00920115 -1.57075 1 0 1
168.74 0.0192012 -1.57061 1 -0 1
168.75 0.0292012 -1.57037 1 -0 1
168.76 0.0392012 -1.57003 1 -0 1
168.77 0.0492011 -1.56959 0.999999 0 1
168.78 0.0592011 -1.56904 0.999998 -0 1
168.79 0.0692011 -1.5684 0.999997 -0 1
168.8 0.0792011 -1.56766 0.999995 -0 1
168.81 0.089201 -1.56682 0.999992 -0 1
168.82 0.0992009 -1.56588 0.999988 -0 1
168.83 0.109201 -1.56483 0.999982 0 1
168.84 0.119201 -1.56369 0.999975 -0 1
168.85 0.1292 -1.56245 0.999965 -0 1
168.86 0.1392 -1.56111 0.999953 -0 1
168.87 0.149199 -1.55967 0.999938 0 1
168.88 0.159199 -1.55812 0.99992 -0 1
168.89 0.169198 -1.55648 0.999898 -0 1
168.9 0.179197 -1.55474 0.999871 -0 1
168.91 0.189195 -1.5529 0.99984 -0 1
168.92 0.199193 -1.55096 0.999803 0 1
168.93 0.209191 -1.54891 0.999761 0 1
168.94 0.219189 -1.54677 0.999711 0 1
168.95 0.229185 -1.54453 0.999655 0 1
168.96 0.239182 -1.54219 0.999591 0 1
168.97 0.249177 -1.53975 0.999518 0 1
168.98 0.259172 -1.53721 0.999436 -0 1
168.99 0.269166 -1.53456 0.999344 0 1
169 0.279159 -1.53182 0.999241 -0 1
169.01 0.289151 -1.52898 0.999126 0 1
169.02 0.299141 -1.52604 0.998999 -0 1
169.03 0.309131 -1.523 0.998858 0 1
169.04 0.319118 -1.51986 0.998703 -0 1
169.05 0.329105 -1.51662 0.998533 -0 1
169.06 0.339089 -1.51327 0.998346 0 1
169.07 0.349071 -1.50983 0.998142 0 1
169.08 0.359052 -1.50629 0.99792 0 1
169.09 0.36903 -1.50265 0.997679 -0 1
169.1 0.379005 -1.49891 0.997417 0 1
169.11 0.388978 -1.49507 0.997134 0 1
169.12 0.398948 -1.49113 0.996829 0 1
169.13 0.408914 -1.48709 0.996499 -0 1
169.14 0.418878 -1.48295 0.996144 0 1
169.15 0.428837 -1.47872 0.995764 0 1
169.16 0.438793 -1.47438 0.995355 -0 1
169.17 0.448744 -1.46994 0.994918 -0 1
169.18 0.458691 -1.4654 0.994451 -0 1
169.19 0.468633 -1.46077 0.993953 -0 1
169.2 0.47857 -1.45603 0.993422 -0 1
169.21 0.488502 -1.45119 0.992856 0 1
169.22 0.498427 -1.44626 0.992255 -0 1
169.23 0.508347 -1.44123 0.991618 -0 1
169.24 0.518259 -1.43609 0.990941 -0 1
169.25 0.528165 -1.43086 0.990225 -0 1
169.26 0.538064 -1.42553 0.989467 0 1
169.27 0.547954 -1.4201 0.988667 -0 1
169.28 0.557837 -1.41457 0.987822 -0 1
169.29 0.567711 -1.40894 0.98693 -0 1
169.3 0.577575 -1.40322 0.985991 -0 1
169.31 0.58743 -1.39739 0.985003 -0 1
169.32 0.597275 -1.39147 0.983964 -0 1
169.33 0.607109 -1.38545 0.982872 -0 1
169.34 0.616932 -1.37933 0.981725 0 1
169.35 0.626744 -1.37311 0.980523 -0 1
169.36 0.636543 -1.36679 0.979263 -0 1
169.37 0.646329 -1.36038 0.977943 -0 1
169.38 0.656101 -1.35386 0.976562 -0 1
169.39 0.66586 -1.34725 0.975118 0 1
169.4 0.675604 -1.34055 0.97361 -0 1
169.41 0.685332 -1.33374 0.972034 0 1
169.42 0.695044 -1.32684 0.97039 0 1
169.43 0.704739 -1.31984 0.968676 -0 1
169.44 0.714417 -1.31275 0.966889 -0 1
169.45 0.724077 -1.30555 0.965029 -0 1
169.46 0.733718 -1.29826 0.963093 -0 1
169.47 0.743339 -1.29088 0.961078 0 1
169.48 0.752939 -1.2834 0.958985 0 1
169.49 0.762518 -1.27582 0.956809 0 1
169.5 0.772075 -1.26815 0.95455 -0 1
169.51 0.781609 -1.26038 0.952206 0 1
169.52 0.791119 -1.25252 0.949775 0 1
169.53 0.800604 -1.24456 0.947254 0 1
169.54 0.810063 -1.2365 0.944643 0 1
169.55 0.819496 -1.22836 0.941938 0 1
169.56 0.828902 -1.22011 0.939138 0 1
169.57 0.838279 -1.21178 0.936242 -0 1
169.58 0.847626 -1.20335 0.933247 -0 1
169.59 0.856943 -1.19483 0.930152 -0 1
169.6 0.866229 -1.18621 0.926954 0 1
169.61 0.875482 -1.1775 0.923651 0 1
169.62 0.884702 -1.1687 0.920243 -0 1
169.63 0.893887 -1.15981 0.916726 -0 1
169.64 0.903036 -1.15082 0.9131 -0 1
169.65 0.912148 -1.14175 0.909361 -0 1
169.66 0.921223 -1.13258 0.90551 -0 1
169.67 0.930258 -1.12332 0.901543 -0 1
169.68 0.939253 -1.11397 0.897459 -0 1
169.69 0.948207 -1.10454 0.893256 -0 1
169.7 0.957118 -1.09501 0.888933 -0 1
169.71 0.965985 -1.08539 0.884488 -0 1
169.72 0.974807 -1.07569 0.879919 0 1
169.73 0.983583 -1.0659 0.875224 0 1
169.74 0.992311 -1.05602 0.870403 -0 1
169.75 1.00099 -1.04605 0.865452 0 1
169.76 1.00962 -1.036 0.860372 0 1
169.77 1.0182 -1.02586 0.855161 0 1
169.78 1.02672 -1.01564 0.849816 -0 1
169.79 1.03519 -1.00533 0.844337 -0 1
169.8 1.04361 -0.994932 0.838722 0 1
169.81 1.05197 -0.984454 0.83297 -0 1
169.82 1.06027 -0.973893 0.82708 0 1
169.83 1.06851 -0.963249 0.821051 -0 1
169.84 1.07669 -0.952523 0.814881 -0 1
169.85 1.08481 -0.941716 0.808569 0 1
169.86 1.09286 -0.930827 0.802114 -0 1
169.87 1.10085 -0.919859 0.795516 0 1
169.88 1.10877 -0.90881 0.788773 0 1
169.89 1.11662 -0.897683 0.781885 0 1
169.9 1.12441 -0.886478 0.77485 -0 1
169.91 1.13212 -0.875196 0.767669 -0 1
169.92 1.13976 -0.863836 0.76034 -0 1
169.93 1.14733 -0.852401 0.752863 0 1
169.94 1.15482 -0.84089 0.745237 0 1
169.95 1.16223 -0.829305 0.737462 -0 1
169.96 1.16956 -0.817646 0.729538 -0 1
169.97 1.17682 -0.805914 0.721464 0 1
169.98 1.18399 -0.794109 0.71324 -0 1
169.99 1.19108 -0.782234 0.704866 0 1
170 1.19809 -0.770288 0.696342 0 1
170.01 1.20501 -0.758272 0.687668 -0 1
170.02 1.21184 -0.746188 0.678845 0 1
170.03 1.21859 -0.734036 0.669872 0 1
170.04 1.22524 -0.721817 0.660749 -0 1
170.05 1.2318 -0.709531 0.651478 0 1
170.06 1.23827 -0.697181 0.642059 -0 1
170.07 1.24464 -0.684766 0.632492 -0 1
170.08 1.25092 -0.672288 0.622778 -0 1
170.09 1.2571 -0.659748 0.612918 0 1
170.1 1.26318 -0.647147 0.602913 0 1
170.11 1.26915 -0.634485 0.592763 0 1
170.12 1.27503 -0.621764 0.58247 0 1
170.13 1.2808 -0.608985 0.572035 -0 1
170.14 1.28647 -0.596148 0.561459 -0 1
170.15 1.29203 -0.583256 0.550744 0 1
170.16 1.29749 -0.570308 0.539891 0 1
170.17 1.30283 -0.557306 0.528902 -0 1
170.18 1.30806 -0.544252 0.517778 0 1
170.19 1.31319 -0.531145 0.506521 0 1
170.2 1.31819 -0.517988 0.495133 0 1
170.21 1.32309 -0.504782 0.483617 0 1
170.22 1.32787 -0.491527 0.471973 0 1
170.23 1.33253 -0.478225 0.460204 -0 1
170.24 1.33707 -0.464877 0.448313 0 1
170.25 1.34149 -0.451484 0.436301 0 1
170.26 1.34579 -0.438047 0.424172 0 1
170.27 1.34998 -0.424569 0.411928 -0 1
170.28 1.35403 -0.411048 0.399571 0 1
170.29 1.35797 -0.397488 0.387104 0 1
170.3 1.36177 -0.383889 0.37453 0 1
170.31 1.36546 -0.370253 0.361851 0 1
170.32 1.36901 -0.356581 0.349072 -0 1
170.33 1.37244 -0.342873 0.336195 -0 1
170.34 1.37573 -0.329132 0.323222 -0 1
170.35 1.3789 -0.315359 0.310158 -0 1
170.36 1.38194 -0.301555 0.297005 0 1
170.37 1.38484 -0.287721 0.283767 -0 1
170.38 1.38761 -0.273858 0.270448 -0 1
170.39 1.39025 -0.259969 0.257051 0 1
170.4 1.39275 -0.246054 0.243579 -0 1
170.41 1.39512 -0.232114 0.230036 0 1
170.42 1.39735 -0.218152 0.216426 -0 1
170.43 1.39945 -0.204168 0.202752 -0 1
170.44 1.40141 -0.190163 0.189019 -0 1
170.45 1.40323 -0.17614 0.175231 -0 1
170.46 1.40491 -0.162099 0.16139 -0 1
170.47 1.40646 -0.148042 0.147502 -0 1
170.48 1.40786 -0.13397 0.13357 -0 1
170.49 1.40913 -0.119885 0.119598 0 1
170.5 1.41026 -0.105788 0.105591 -0 1
170.51 1.41124 -0.0916808 0.0915524 -0 1
170.52 1.41209 -0.077564 0.0774863 -0 1
170.53 1.41279 -0.0634395 0.063397 0 1
170.54 1.41335 -0.0493087 0.0492887 -0 1
170.55 1.41378 -0.0351729 0.0351657 0 1
170.56 1.41406 -0.0210336 0.0210321 0 1
170.57 1.4142 -0.00689223 0.00689217 -0 1
170.58 1.41419 0.00724985 -0.00724979 -0 1
170.59 1.41405 0.0213912 -0.0213896 -0 1
170.6 1.41377 0.0355304 -0.0355229 -0 1
170.61 1.41334 0.0496661 -0.0496457 0 1
170.62 1.41277 0.0637968 -0.0637535 -0 1
170.63 1.41207 0.0779211 -0.0778423 -0 1
170.64 1.41122 0.0920376 -0.0919078 0 1
170.65 1.41023 0.106145 -0.105946 0 1
170.66 1.4091 0.120242 -0.119952 -0 1
170.67 1.40783 0.134327 -0.133923 -0 1
170.68 1.40642 0.148398 -0.147854 -0 1
170.69 1.40487 0.162454 -0.161741 0 1
170.7 1.40319 0.176495 -0.17558 0 1
170.71 1.40136 0.190518 -0.189367 0 1
170.72 1.3994 0.204522 -0.203099 -0 1
170.73 1.3973 0.218505 -0.216771 -0 1
170.74 1.39506 0.232467 -0.230379 -0 1
170.75 1.39269 0.246406 -0.24392 -0 1
170.76 1.39019 0.260321 -0.25739 0 1
170.77 1.38754 0.274209 -0.270786 0 1
170.78 1.38477 0.288071 -0.284103 0 1
170.79 1.38186 0.301904 -0.297339 -0 1
170.8 1.37882 0.315708 -0.310489 0 1
170.81 1.37565 0.32948 -0.323551 0 1
170.82 1.37235 0.34322 -0.336521 0 1
170.83 1.36892 0.356927 -0.349397 0 1
170.84 1.36536 0.370598 -0.362173 0 1
170.85 1.36168 0.384234 -0.374849 -0 1
170.86 1.35787 0.397832 -0.38742 0 1
170.87 1.35393 0.411391 -0.399884 0 1
170.88 1.34987 0.42491 -0.412239 0 1
170.89 1.34569 0.438388 -0.42448 0 1
170.9 1.34138 0.451823 -0.436607 0 1
170.91 1.33696 0.465215 -0.448615 -0 1
170.92 1.33241 0.478562 -0.460503 0 1
170.93 1.32775 0.491863 -0.472269 0 1
170.94 1.32296 0.505116 -0.483909 0 1
170.95 1.31807 0.518322 -0.495423 0 1
170.96 1.31306 0.531477 -0.506808 0 1
170.97 1.30793 0.544583 -0.518061 0 1
170.98 1.3027 0.557636 -0.529182 -0 1
170.99 1.29735 0.570636 -0.540167 -0 1
171 1.29189 0.583582 -0.551017 0 1
171.01 1.28633 0.596474 -0.561728 0 1
171.02 1.28066 0.609309 -0.572301 -0 1
171.03 1.27488 0.622086 -0.582732 -0 1
171.04 1.26901 0.634806 -0.593021 -0 1
171.05 1.26302 0.647466 -0.603167 0 1
171.06 1.25694 0.660066 -0.613169 0 1
171.07 1.25076 0.672605 -0.623025 0 1
171.08 1.24448 0.685081 -0.632736 -0 1
171.09 1.23811 0.697494 -0.642299 -0 1
171.1 1.23164 0.709843 -0.651715 -0 1
171.11 1.22507 0.722126 -0.660982 -0 1
171.12 1.21842 0.734344 -0.6701 -0 1
171.13 1.21167 0.746494 -0.67907 -0 1
171.14 1.20484 0.758577 -0.687889 0 1
171.15 1.19791 0.770591 -0.696559 -0 1
171.16 1.19091 0.782535 -0.705079 0 1
171.17 1.18381 0.794409 -0.713449 -0 1
171.18 1.17664 0.806211 -0.72167 0 1
171.19 1.16938 0.817941 -0.72974 0 1
171.2 1.16204 0.829598 -0.73766 -0 1
171.21 1.15463 0.841182 -0.745431 0 1
171.22 1.14714 0.852691 -0.753054 -0 1
171.23 1.13957 0.864124 -0.760527 -0 1
171.24 1.13192 0.875482 -0.767852 -0 1
171.25 1.12421 0.886763 -0.77503 -0 1
171.26 1.11642 0.897966 -0.782061 0 1
171.27 1.10857 0.909091 -0.788945 -0 1
171.28 1.10065 0.920137 -0.795685 -0 1
171.29 1.09266 0.931104 -0.802279 -0 1
171.3 1.0846 0.94199 -0.80873 0 1
171.31 1.07648 0.952795 -0.815038 0 1
171.32 1.0683 0.963519 -0.821205 0 1
171.33 1.06006 0.974161 -0.827231 0 1
171.34 1.05176 0.98472 -0.833117 0 1
171.35 1.0434 0.995196 -0.838866 0 1
171.36 1.03498 1.00559 -0.844477 -0 1
171.37 1.02651 1.0159 -0.849953 -0 1
171.38 1.01798 1.02612 -0.855294 0 1
171.39 1.0094 1.03626 -0.860502 -0 1
171.4 1.00077 1.04631 -0.865579 0 1
171.41 0.992091 1.05627 -0.870526 0 1
171.42 0.983362 1.06615 -0.875344 -0 1
171.43 0.974585 1.07594 -0.880036 -0 1
171.44 0.965761 1.08564 -0.884602 0 1
171.45 0.956893 1.09525 -0.889044 0 1
171.46 0.947981 1.10478 -0.893364 0 1
171.47 0.939026 1.11421 -0.897564 -0 1
171.48 0.93003 1.12356 -0.901645 0 1
171.49 0.920994 1.13281 -0.905609 -0 1
171.5 0.911918 1.14198 -0.909457 0 1
171.51 0.902805 1.15105 -0.913193 0 1
171.52 0.893655 1.16003 -0.916816 0 1
171.53 0.884469 1.16892 -0.92033 0 1
171.54 0.875249 1.17772 -0.923736 -0 1
171.55 0.865995 1.18643 -0.927036 0 1
171.56 0.856708 1.19504 -0.930231 0 1
171.57 0.84739 1.20356 -0.933324 0 1
171.58 0.838042 1.21199 -0.936317 -0 1
171.59 0.828664 1.22032 -0.93921 -0 1
171.6 0.819258 1.22856 -0.942007 -0 1
171.61 0.809825 1.23671 -0.94471 0 1
171.62 0.800364 1.24476 -0.947319 -0 1
171.63 0.790878 1.25272 -0.949837 -0 1
171.64 0.781368 1.26058 -0.952267 0 1
171.65 0.771833 1.26834 -0.954609 0 1
171.66 0.762276 1.27601 -0.956865 0 1
171.67 0.752696 1.28359 -0.959039 0 1
171.68 0.743095 1.29107 -0.96113 -0 1
171.69 0.733474 1.29845 -0.963142 0 1
171.7 0.723833 1.30574 -0.965077 -0 1
171.71 0.714173 1.31293 -0.966935 0 1
171.72 0.704494 1.32002 -0.96872 -0 1
171.73 0.694799 1.32702 -0.970433 -0 1
171.74 0.685086 1.33392 -0.972075 0 1
171.75 0.675357 1.34072 -0.973649 -0 1
171.76 0.665613 1.34742 -0.975156 0 1
171.77 0.655854 1.35403 -0.976598 0 1
171.78 0.646082 1.36054 -0.977977 0 1
171.79 0.636295 1.36695 -0.979296 0 1
171.8 0.626496 1.37327 -0.980554 0 1
171.81 0.616684 1.37948 -0.981755 -0 1
171.82 0.606861 1.3856 -0.9829 0 1
171.83 0.597026 1.39162 -0.983991 -0 1
171.84 0.587181 1.39754 -0.985029 -0 1
171.85 0.577326 1.40336 -0.986016 -0 1
171.86 0.567461 1.40909 -0.986953 0 1
171.87 0.557587 1.41471 -0.987844 -0 1
171.88 0.547704 1.42024 -0.988688 -0 1
171.89 0.537813 1.42567 -0.989487 -0 1
171.9 0.527915 1.43099 -0.990244 0 1
171.91 0.518009 1.43622 -0.990959 0 1
171.92 0.508096 1.44135 -0.991634 0 1
171.93 0.498176 1.44639 -0.992271 0 1
171.94 0.48825 1.45132 -0.992871 0 1
171.95 0.478319 1.45615 -0.993435 -0 1
171.96 0.468382 1.46088 -0.993966 -0 1
171.97 0.45844 1.46552 -0.994463 -0 1
171.98 0.448493 1.47005 -0.99493 0 1
171.99 0.438541 1.47449 -0.995366 -0 1
172 0.428585 1.47882 -0.995774 0 1
172.01 0.418626 1.48306 -0.996154 -0 1
172.02 0.408662 1.4872 -0.996508 0 1
172.03 0.398696 1.49123 -0.996837 0 1
172.04 0.388726 1.49517 -0.997142 -0 1
172.05 0.378753 1.49901 -0.997424 -0 1
172.06 0.368777 1.50275 -0.997685 0 1
172.07 0.358799 1.50638 -0.997926 -0 1
172.08 0.348819 1.50992 -0.998148 0 1
172.09 0.338836 1.51336 -0.998351 0 1
172.1 0.328852 1.5167 -0.998537 -0 1
172.11 0.318866 1.51994 -0.998707 0 1
172.12 0.308878 1.52308 -0.998862 0 1
172.13 0.298889 1.52611 -0.999002 0 1
172.14 0.288898 1.52905 -0.999129 -0 1
172.15 0.278906 1.53189 -0.999243 0 1
172.16 0.268913 1.53463 -0.999346 0 1
172.17 0.258919 1.53727 -0.999438 0 1
172.18 0.248924 1.53981 -0.99952 -0 1
172.19 0.238929 1.54225 -0.999593 -0 1
172.2 0.228933 1.54459 -0.999657 -0 1
172.21 0.218936 1.54683 -0.999713 0 1
172.22 0.208938 1.54897 -0.999762 -0 1
172.23 0.19894 1.55101 -0.999804 0 1
172.24 0.188942 1.55295 -0.999841 -0 1
172.25 0.178944 1.55479 -0.999872 -0 1
172.26 0.168945 1.55652 -0.999898 0 1
172.27 0.158946 1.55816 -0.99992 -0 1
172.28 0.148946 1.5597 -0.999938 -0 1
172.29 0.138947 1.56114 -0.999953 -0 1
172.3 0.128947 1.56248 -0.999965 -0 1
172.31 0.118948 1.56372 -0.999975 0 1
172.32 0.108948 1.56486 -0.999982 0 1
172.33 0.098948 1.5659 -0.999988 -0 1
172.34 0.0889481 1.56684 -0.999992 0 1
172.35 0.0789482 1.56768 -0.999995 -0 1
172.36 0.0689482 1.56842 -0.999997 0 1
172.37 0.0589483 1.56906 -0.999998 0 1
172.38 0.0489483 1.5696 -0.999999 -0 1
172.39 0.0389483 1.57004 -1 -0 1
172.4 0.0289483 1.57038 -1 0 1
172.41 0.0189483 1.57062 -1 0 1
172.42 0.00894827 1.57076 -1 -0 1
172.43 -0.00105173 1.5708 -1 0 1
172.44 -0.0110517 1.57074 -1 -0 1
172.45 -0.0210517 1.57057 -1 -0 1
172.46 -0.0310517 1.57031 -1 0 1
172.47 -0.0410517 1.56995 -1 0 1
172.48 -0.0510517 1.56949 -0.999999 -0 1
172.49 -0.0610517 1.56893 -0.999998 -0 1
172.5 -0.0710517 1.56827 -0.999997 0 1
172.51 -0.0810516 1.56751 -0.999995 0 1
172.52 -0.0910516 1.56665 -0.999991 0 1
172.53 -0.101051 1.56569 -0.999987 -0 1
172.54 -0.111051 1.56463 -0.999981 -0 1
172.55 -0.121051 1.56347 -0.999973 0 1
172.56 -0.131051 1.56221 -0.999963 -0 1
172.57 -0.14105 1.56085 -0.999951 0 1
172.58 -0.15105 1.55939 -0.999935 -0 1
172.59 -0.161049 1.55783 -0.999916 -0 1
172.6 -0.171048 1.55617 -0.999893 0 1
172.61 -0.181047 1.55441 -0.999866 -0 1
172.62 -0.191045 1.55255 -0.999833 -0 1
172.63 -0.201044 1.55059 -0.999796 0 1
172.64 -0.211041 1.54853 -0.999752 -0 1
172.65 -0.221039 1.54637 -0.999702 0 1
172.66 -0.231035 1.5441 -0.999644 -0 1
172.67 -0.241031 1.54174 -0.999578 -0 1
172.68 -0.251027 1.53928 -0.999504 0 1
172.69 -0.261021 1.53672 -0.99942 -0 1
172.7 -0.271015 1.53406 -0.999325 0 1
172.71 -0.281008 1.5313 -0.99922 -0 1
172.72 -0.291 1.52844 -0.999103 0 1
172.73 -0.30099 1.52548 -0.998974 0 1
172.74 -0.310979 1.52242 -0.99883 -0 1
172.75 -0.320966 1.51926 -0.998673 -0 1
172.76 -0.330952 1.516 -0.998499 0 1
172.77 -0.340936 1.51264 -0.99831 -0 1
172.78 -0.350918 1.50919 -0.998103 0 1
172.79 -0.360898 1.50563 -0.997877 0 1
172.8 -0.370876 1.50197 -0.997632 -0 1
172.81 -0.380851 1.49821 -0.997367 -0 1
172.82 -0.390823 1.49435 -0.997079 0 1
172.83 -0.400792 1.49039 -0.996769 0 1
172.84 -0.410759 1.48633 -0.996435 -0 1
172.85 -0.420721 1.48218 -0.996076 -0 1
172.86 -0.43068 1.47792 -0.99569 0 1
172.87 -0.440635 1.47356 -0.995277 -0 1
172.88 -0.450585 1.46911 -0.994834 -0 1
172.89 -0.460531 1.46455 -0.994361 0 1
172.9 -0.470473 1.4599 -0.993857 0 1
172.91 -0.480408 1.45514 -0.99332 0 1
172.92 -0.490339 1.45029 -0.992748 -0 1
172.93 -0.500263 1.44534 -0.99214 -0 1
172.94 -0.510181 1.44028 -0.991495 0 1
172.95 -0.520093 1.43513 -0.990812 0 1
172.96 -0.529998 1.42988 -0.990088 0 1
172.97 -0.539895 1.42453 -0.989322 -0 1
172.98 -0.549784 1.41908 -0.988514 0 1
172.99 -0.559665 1.41354 -0.98766 0 1
173 -0.569537 1.40789 -0.98676 0 1
