#t p q a dW Et
1.13 0.719127 1.30925 -0.965992 0 1
1.14 0.709458 1.3164 -0.967814 0 1
1.15 0.699771 1.32344 -0.969564 0 1
1.16 0.690067 1.33039 -0.971242 0 1
1.17 0.680347 1.33724 -0.97285 -0 1
1.18 0.67061 1.344 -0.974391 -0 1
1.19 0.660859 1.35066 -0.975867 -0 1
1.2 0.651093 1.35722 -0.977278 0 1
1.21 0.641314 1.36368 -0.978627 -0 1
1.22 0.631521 1.37004 -0.979916 0 1
1.23 0.621716 1.37631 -0.981147 -0 1
1.24 0.611898 1.38248 -0.98232 0 1
1.25 0.602069 1.38855 -0.983438 0 1
1.26 0.59223 1.39452 -0.984503 -0 1
1.27 0.582379 1.40039 -0.985516 -0 1
1.28 0.572519 1.40616 -0.986479 -0 1
1.29 0.56265 1.41184 -0.987393 -0 1
1.3 0.552772 1.41742 -0.988261 -0 1
1.31 0.542885 1.4229 -0.989083 -0 1
1.32 0.53299 1.42828 -0.989861 0 1
1.33 0.523088 1.43356 -0.990597 0 1
1.34 0.513178 1.43874 -0.991293 0 1
1.35 0.503262 1.44382 -0.991949 0 1
1.36 0.49334 1.4488 -0.992568 0 1
1.37 0.483411 1.45369 -0.99315 -0 1
1.38 0.473477 1.45847 -0.993698 -0 1
1.39 0.463537 1.46316 -0.994212 0 1
1.4 0.453593 1.46774 -0.994695 0 1
1.41 0.443643 1.47223 -0.995146 -0 1
1.42 0.43369 1.47661 -0.995568 0 1
1.43 0.423732 1.4809 -0.995962 0 1
1.44 0.413771 1.48509 -0.996329 -0 1
1.45 0.403806 1.48918 -0.996671 -0 1
1.46 0.393837 1.49316 -0.996988 0 1
1.47 0.383866 1.49705 -0.997282 -0 1
1.48 0.373892 1.50084 -0.997554 -0 1
1.49 0.363915 1.50453 -0.997805 -0 1
1.5 0.353936 1.50812 -0.998037 -0 1
1.51 0.343954 1.51161 -0.998249 0 1
1.52 0.333971 1.515 -0.998444 -0 1
1.53 0.323985 1.51829 -0.998622 0 1
1.54 0.313998 1.52148 -0.998784 -0 1
1.55 0.30401 1.52457 -0.998932 0 1
1.56 0.29402 1.52756 -0.999065 -0 1
1.57 0.284028 1.53045 -0.999186 0 1
1.58 0.274036 1.53324 -0.999295 -0 1
1.59 0.264043 1.53593 -0.999392 0 1
1.6 0.254048 1.53852 -0.999479 0 1
1.61 0.244053 1.54101 -0.999556 0 1
1.62 0.234057 1.5434 -0.999625 -0 1
1.63 0.224061 1.54569 -0.999685 0 1
1.64 0.214063 1.54788 -0.999737 0 1
1.65 0.204066 1.54997 -0.999783 -0 1
1.66 0.194068 1.55196 -0.999823 0 1
1.67 0.184069 1.55385 -0.999856 -0 1
1.68 0.174071 1.55565 -0.999885 0 1
1.69 0.164072 1.55734 -0.999909 0 1
1.7 0.154073 1.55893 -0.99993 0 1
1.71 0.144073 1.56042 -0.999946 0 1
1.72 0.134074 1.56181 -0.99996 -0 1
1.73 0.124074 1.5631 -0.99997 0 1
1.74 0.114074 1.56429 -0.999979 -0 1
1.75 0.104074 1.56538 -0.999985 -0 1
1.76 0.0940745 1.56637 -0.99999 -0 1
1.77 0.0840746 1.56726 -0.999994 0 1
1.78 0.0740747 1.56805 -0.999996 -0 1
1.79 0.0640747 1.56874 -0.999998 0 1
1.8 0.0540747 1.56933 -0.999999 0 1
1.81 0.0440747 1.56983 -1 -0 1
1.82 0.0340747 1.57022 -1 -0 1
1.83 0.0240747 1.57051 -1 0 1
1.84 0.0140747 1.5707 -1 0 1
1.85 0.00407471 1.57079 -1 -0 1
1.86 -0.00592529 1.57078 -1 -0 1
1.87 -0.0159253 1.57067 -1 -0 1
