#t p q a dW
1.12 -0.479209 -0.282268 0 0.0351698
1.13 -0.436022 -0.286825 0 0.0413166
1.14 -0.439693 -0.290977 0 0.0013828
1.15 -0.469608 -0.294998 0 0.0146208
1.16 -0.409657 -0.299455 0 0.0443007
1.17 -0.525498 -0.303961 0 -0.0394335
1.18 -0.685462 -0.310071 0 -0.00534503
1.19 -0.731245 -0.316966 0 -0.00673932
1.2 -0.687077 -0.324333 0 0.0303645
1.21 -0.676769 -0.33088 0 -0.0225734
1.22 -0.788909 -0.338486 0 0.0196962
1.23 -0.640052 -0.346041 0 -0.023921
1.24 -0.660459 -0.352677 0 0.0197624
1.25 -0.555157 -0.358677 0 0.0316471
1.26 -0.566171 -0.364491 0 -0.038635
1.27 -0.634433 -0.370549 0 -0.0152257
1.28 -0.641646 -0.376779 0 -0.0552742
1.29 -0.772269 -0.383796 0 -0.0386877
1.3 -0.744447 -0.391651 0 -0.0163471
1.31 -0.704121 -0.399163 0 -0.0223142
1.32 -0.782608 -0.407361 0 0.00519948
1.33 -0.876945 -0.415425 0 0.0199996
1.34 -0.846026 -0.423742 0 0.066656
1.35 -0.637708 -0.43075 0 0.0331127
1.36 -0.703335 -0.437115 0 0.0124132
1.37 -0.603751 -0.44361 0 -0.012096
1.38 -0.633363 -0.44971 0 -0.0107045
1.39 -0.730554 -0.456509 0 0.0517239
1.4 -0.778898 -0.463778 0 0.0197412
1.41 -0.739764 -0.471117 0 -0.00325029
1.42 -0.716084 -0.478571 0 0.0260017
1.43 -0.620259 -0.485479 0 0.0232332
1.44 -0.403258 -0.49074 0 -0.0010982
1.45 -0.370978 -0.494815 0 -0.0393169
1.46 -0.387933 -0.498956 0 0.0106433
1.47 -0.448296 -0.503129 0 -0.0337015
1.48 -0.470542 -0.507773 0 -0.0187315
1.49 -0.642952 -0.513626 0 -0.00855513
1.5 -0.606323 -0.519914 0 -0.00164708
1.51 -0.595835 -0.525914 0 0.0150949
1.52 -0.538974 -0.531781 0 -0.00179922
1.53 -0.506983 -0.536722 0 0.0158672
1.54 -0.476454 -0.541549 0 -0.0198796
1.55 -0.562266 -0.546725 0 0.015687
1.56 -0.542485 -0.552512 0 -0.031684
1.57 -0.573055 -0.558333 0 0.0378249
1.58 -0.605637 -0.563751 0 -0.0428719
1.59 -0.659953 -0.570217 0 0.020301
1.6 -0.737868 -0.576831 0 0.0188341
1.61 -0.606918 -0.583531 0 0.0278438
1.62 -0.50748 -0.589185 0 -0.0605489
1.63 -0.695389 -0.595216 0 0.0648376
1.64 -0.57713 -0.601569 0 0.000856459
1.65 -0.563382 -0.607372 0 -0.0534115
1.66 -0.626508 -0.613522 0 0.0226999
1.67 -0.665865 -0.620345 0 -0.0173909
1.68 -0.660696 -0.627329 0 0.0219768
1.69 -0.64583 -0.633681 0 0.0196116
1.7 -0.501956 -0.639113 0 0.0227915
1.71 -0.390833 -0.643176 0 0.0464822
1.72 -0.553411 -0.647403 0 -0.0132008
1.73 -0.733603 -0.65335 0 0.0477499
1.74 -0.8117 -0.660868 0 -0.0486194
1.75 -0.96818 -0.670107 0 -0.0266725
1.76 -1.01629 -0.680371 0 -0.00686789
1.77 -1.22342 -0.691496 0 0.0236008
1.78 -1.28278 -0.703659 0 -0.00814586
1.79 -1.24118 -0.716032 0 0.0189077
1.8 -1.18373 -0.728373 0 0.0229482
1.81 -0.991279 -0.739241 0 -0.0382881
1.82 -1.02215 -0.749686 0 -0.0319881
1.83 -1.16886 -0.760822 0 0.00136644
1.84 -1.22302 -0.772592 0 0.0498509
1.85 -1.1789 -0.784331 0 -0.0042064
1.86 -1.17211 -0.796136 0 -0.00119017
1.87 -1.12848 -0.807575 0 -0.0362397
1.88 -1.26325 -0.820003 0 -0.0396334
1.89 -1.26539 -0.832693 0 0.0125748
1.9 -1.41564 -0.846042 0 -0.0220845
1.91 -1.33629 -0.859643 0 -0.0147505
1.92 -1.24314 -0.872884 0 0.0314036
1.93 -1.2022 -0.884701 0 0.00865206
1.94 -1.09039 -0.896217 0 -0.0267626
1.95 -1.23311 -0.908362 0 -0.0206303
1.96 -1.28964 -0.92115 0 0.00468256
1.97 -1.33409 -0.933853 0 -0.0102263
1.98 -1.34621 -0.947717 0 0.0391798
1.99 -1.0823 -0.959826 0 0.0289759
2 -1.10221 -0.97053 0 -0.0276389
2.01 -1.07105 -0.981442 0 -0.0146783
2.02 -1.02597 -0.992168 0 0.036089
2.03 -1.06728 -1.00219 0 0.0141539
2.04 -1.06198 -1.013 0 0.0197268
2.05 -0.851274 -1.02241 0 -0.00737904
2.06 -0.93174 -1.03139 0 0.0263892
2.07 -0.788654 -1.04012 0 0.0223611
2.08 -0.702485 -1.04769 0 -0.00988866
2.09 -0.72607 -1.05457 0 -0.0104328
2.1 -0.748519 -1.06197 0 -0.0103051
2.11 -0.724473 -1.06946 0 -0.0425916
2.12 -0.589402 -1.07632 0 0.0161882
2.13 -0.618214 -1.08217 0 0.0272402
2.14 -0.592383 -1.08783 0 0.0163822
2.15 -0.496026 -1.09299 0 0.0106932
2.16 -0.488219 -1.09767 0 -0.0500817
2.17 -0.587445 -1.10298 0 -0.0337339
