strF2B,strB2F,strB2B,strHrad,strBrad,strNtrials
"1.0","0.1","0.000001","10","11","100000"
"1.0","0.01","0.000001","10","11","100000"
"1.0","0.0001","0.000001","10","11","100000"
"1.0","0.000001","0.000001","10","11","100000"
