strF2B,strB2F,strB2B,strHrad,strBrad,strNtrials
"1.0","0.0025","0.01","10","11","100000"
"1.0","0.000625","0.01","20","21","100000"
"1.0","0.00015625","0.01","40","41","100000"
"1.0","0.0000390625","0.01","80","81","100000"
"1.0","0.000025","0.01","100","101","100000"
"1.0","0.000001","0.01","500","501","100000"
