1 1.550002e+01
2 1.550000e+01
3 1.550001e+01
4 1.549999e+01
5 1.550000e+01
6 1.549998e+01
7 1.550002e+01
8 1.550003e+01
9 1.550000e+01
10 1.550000e+01
11 1.550000e+01
12 1.550000e+01
13 1.550000e+01
14 1.550030e+01
16 1.550000e+01
17 1.550000e+01
19 1.550000e+01
21 1.549997e+01
23 1.550000e+01
26 1.550000e+01
28 1.550000e+01
31 1.550002e+01
34 1.550001e+01
37 1.549998e+01
41 1.550002e+01
45 1.550002e+01
50 1.550001e+01
55 1.550000e+01
60 1.549999e+01
66 1.550000e+01
73 1.549996e+01
80 1.550002e+01
88 1.550000e+01
97 1.549988e+01
107 1.550000e+01
117 1.550006e+01
129 1.549999e+01
142 1.550000e+01
156 1.549998e+01
172 1.550000e+01
189 1.550001e+01
208 1.549997e+01
229 1.549999e+01
252 1.549999e+01
277 1.550001e+01
304 1.549999e+01
335 1.549998e+01
368 1.550002e+01
405 1.549998e+01
446 1.549999e+01
490 1.550001e+01
539 1.550000e+01
593 1.549999e+01
653 1.550000e+01
718 1.550000e+01
790 1.549999e+01
869 1.550000e+01
956 1.550002e+01
1051 1.550006e+01
