strNpart strU0 strP mm mm_err bb bb_err xfitmin xfitmax
###256
256 2.0 1.0 44270.892037673 124.656079204637 1.05927973709707 0.000368637281452455 100 10000
###512
512 2.0 1.0 65400.1206092058 96.9197426824346 1.08382287996859 0.000131334096720725 100 10000
###1024
1024 2.0 1.0 103401.560032426 112.729087128784 1.09233201690394 6.11088548778214e-05 100 10000
###2048
2048 2.0 1.0 172688.123183383 192.249524503053 1.09566195769368 3.7364800932474e-05 100 10000


