#t U_0 U_1 U_2 U_3 U_4 U_5 U_6 U_7 U_8 U_9 U_10 U_11 U_12 U_13 U_14 U_15 U_16 U_17 U_18 U_19 U_20 U_21 U_22 U_23 U_24 U_25 U_26 U_27 U_28 U_29 U_30 U_31 U_32 U_33 U_34 U_35 U_36 U_37 U_38 U_39 U_40 U_41 U_42 U_43 U_44 U_45 U_46 U_47 U_48 U_49 U_50 U_51 U_52 U_53 U_54 U_55 U_56 U_57 U_58 U_59 U_60 U_61 U_62 U_63 U_64 U_65 U_66 U_67 U_68 U_69 U_70 U_71 U_72 U_73 U_74 U_75 U_76 U_77 U_78 U_79 U_80 U_81 U_82 U_83 U_84 U_85 U_86 U_87 U_88 U_89 U_90 U_91 U_92 U_93 U_94 U_95 U_96 U_97 U_98 U_99 U_100 U_101 U_102 U_103 U_104 U_105 U_106 U_107 U_108 U_109 U_110 U_111 U_112 U_113 U_114 U_115 U_116 U_117 U_118 U_119 U_120 U_121 U_122 U_123 U_124 U_125 U_126 U_127
40 0.396279 0.396121 0.396552 0.396011 0.396404 0.395976 0.396105 0.396525 0.396285 0.396554 0.396672 0.396797 0.397611 0.395788 0.396577 0.396927 0.396618 0.396748 0.395944 0.396074 0.396109 0.396596 0.396781 0.396337 0.396286 0.396315 0.396345 0.396597 0.395473 0.395605 0.393018 0.388269 0.383454 0.384961 0.397101 0.402876 0.396387 0.40018 0.402151 0.399622 0.402469 0.400861 0.404104 0.403976 0.404005 0.40614 0.405427 0.4067 0.40614 0.407641 0.406521 0.407675 0.408043 0.407423 0.407669 0.40822 0.408494 0.409248 0.407506 0.408241 0.408209 0.408791 0.408148 0.410205 0.409598 0.409124 0.408134 0.408183 0.407506 0.407323 0.408355 0.407756 0.408525 0.407316 0.407475 0.407998 0.407956 0.406834 0.4076 0.405827 0.407162 0.406036 0.40504 0.40508 0.402967 0.403096 0.401283 0.402016 0.398762 0.401339 0.399866 0.396552 0.402524 0.397933 0.38435 0.382727 0.388862 0.39269 0.395342 0.396251 0.395906 0.396156 0.396002 0.397436 0.396633 0.39677 0.396329 0.396195 0.396942 0.396641 0.396984 0.396926 0.396936 0.395978 0.395929 0.396088 0.395665 0.397523 0.397228 0.397272 0.397477 0.396534 0.397172 0.396785 0.396239 0.396595 0.396202 0.396199
44 0.395535 0.396517 0.396145 0.396688 0.396069 0.39627 0.395968 0.395919 0.396419 0.397132 0.396768 0.396899 0.396814 0.396985 0.396767 0.396148 0.396939 0.396022 0.396155 0.396365 0.39632 0.396918 0.396184 0.395739 0.397002 0.395809 0.394929 0.392336 0.386903 0.383198 0.387326 0.397457 0.40151 0.395562 0.398905 0.400655 0.399292 0.402471 0.400794 0.402314 0.402261 0.404108 0.403558 0.404024 0.405267 0.405449 0.405521 0.405277 0.406305 0.406842 0.406993 0.406196 0.406642 0.406503 0.407397 0.408237 0.407069 0.407092 0.40733 0.407652 0.407294 0.407597 0.408056 0.407947 0.407993 0.408367 0.406749 0.406717 0.407593 0.407151 0.407069 0.406015 0.407511 0.40744 0.406181 0.40789 0.406741 0.406596 0.406697 0.405779 0.406616 0.404884 0.404855 0.40525 0.403606 0.403765 0.402896 0.402375 0.402006 0.40066 0.402166 0.398349 0.40007 0.399436 0.395835 0.400992 0.397769 0.386829 0.383411 0.38733 0.392351 0.394981 0.39615 0.395764 0.396671 0.396847 0.396536 0.396472 0.396926 0.39687 0.39661 0.396126 0.396883 0.396517 0.397435 0.396432 0.39608 0.396688 0.396502 0.396834 0.397661 0.396409 0.397278 0.396376 0.396577 0.395789 0.396361 0.39654
48 0.396374 0.39691 0.396455 0.395269 0.396408 0.396437 0.396459 0.396341 0.396607 0.396761 0.397519 0.39571 0.39701 0.396837 0.396135 0.39643 0.396127 0.397078 0.397037 0.396167 0.396347 0.395871 0.394917 0.395013 0.391908 0.386182 0.384214 0.388714 0.398811 0.400027 0.395043 0.398772 0.400165 0.398351 0.400872 0.400077 0.400697 0.400875 0.402279 0.401917 0.404002 0.404268 0.404406 0.405051 0.405243 0.404065 0.405116 0.405735 0.406003 0.405559 0.406121 0.40598 0.406025 0.405732 0.406115 0.40741 0.406191 0.407165 0.407166 0.406195 0.406452 0.406607 0.406699 0.406837 0.407069 0.406404 0.406792 0.407059 0.406676 0.406074 0.406397 0.406262 0.406114 0.405803 0.40599 0.406827 0.406792 0.406524 0.405609 0.405072 0.404585 0.404882 0.404324 0.405102 0.404629 0.403969 0.40454 0.403836 0.401731 0.402095 0.40118 0.400748 0.399268 0.401534 0.396902 0.39962 0.399101 0.395844 0.400405 0.39856 0.38909 0.384092 0.387172 0.390503 0.394148 0.39637 0.39624 0.395834 0.396169 0.396749 0.397674 0.396936 0.396341 0.396984 0.397055 0.396953 0.397366 0.397116 0.395767 0.396465 0.396367 0.396201 0.396381 0.396489 0.396768 0.395809 0.39628 0.396113
52 0.396179 0.396264 0.39645 0.397062 0.396933 0.396073 0.396857 0.396981 0.395746 0.396528 0.396822 0.396168 0.396383 0.396421 0.397376 0.39655 0.395919 0.395906 0.396303 0.39548 0.394501 0.389706 0.386947 0.384982 0.390736 0.398836 0.399261 0.39521 0.398526 0.399292 0.398204 0.40101 0.3986 0.400516 0.40049 0.401019 0.400832 0.401562 0.402298 0.403162 0.403027 0.40424 0.404103 0.404567 0.405313 0.404446 0.404829 0.405601 0.40494 0.405491 0.404822 0.405327 0.406077 0.40551 0.406191 0.405686 0.405983 0.405801 0.406132 0.405333 0.405793 0.406053 0.40626 0.406076 0.405993 0.406567 0.406204 0.405446 0.406065 0.405765 0.405731 0.406124 0.404831 0.406622 0.405732 0.404855 0.405409 0.405011 0.405055 0.40507 0.404863 0.404665 0.404357 0.40473 0.404388 0.404247 0.404084 0.403669 0.402747 0.402701 0.401717 0.400382 0.401726 0.400704 0.400007 0.398845 0.400232 0.39777 0.39879 0.399142 0.396 0.39959 0.398973 0.390391 0.384466 0.385317 0.389945 0.394237 0.396118 0.396156 0.396353 0.398067 0.397627 0.397084 0.396549 0.396503 0.397303 0.395949 0.396437 0.396975 0.395985 0.396027 0.396449 0.396621 0.395891 0.395474 0.395901 0.396688
56 0.396332 0.396892 0.396577 0.396651 0.39696 0.397376 0.396617 0.396852 0.395605 0.396197 0.39699 0.395849 0.396422 0.396485 0.396633 0.396356 0.394769 0.393335 0.389727 0.385703 0.385182 0.392472 0.398867 0.399552 0.39596 0.398896 0.398571 0.397691 0.399342 0.398707 0.39981 0.400158 0.400819 0.400268 0.401211 0.400717 0.402197 0.401991 0.403175 0.403166 0.402731 0.403292 0.403654 0.403516 0.404559 0.405297 0.404087 0.404407 0.404966 0.405651 0.404843 0.405481 0.404862 0.405472 0.405506 0.405321 0.405271 0.404459 0.404419 0.404988 0.405646 0.406004 0.405479 0.405232 0.405751 0.40607 0.404942 0.405167 0.405047 0.405326 0.405771 0.405477 0.404859 0.405424 0.404024 0.404954 0.404885 0.40481 0.403929 0.404667 0.405141 0.404457 0.404928 0.404006 0.403734 0.403614 0.403885 0.402855 0.402844 0.4033 0.402128 0.402228 0.401825 0.401079 0.401008 0.400301 0.399591 0.399425 0.398314 0.400116 0.397617 0.398348 0.398844 0.395384 0.398547 0.398776 0.391767 0.385893 0.386436 0.390227 0.394484 0.395509 0.395721 0.397081 0.39719 0.397195 0.396158 0.396165 0.395823 0.396326 0.396322 0.397235 0.396558 0.396045 0.395688 0.395087 0.396128 0.39636
60 0.396083 0.397033 0.396217 0.396409 0.397115 0.396416 0.397027 0.396979 0.396123 0.396484 0.395848 0.39666 0.396201 0.394438 0.392273 0.389184 0.385671 0.386988 0.393104 0.399679 0.398015 0.395028 0.397948 0.398519 0.398259 0.399768 0.398923 0.398964 0.399832 0.400179 0.399812 0.399624 0.399933 0.401933 0.401188 0.401994 0.402903 0.402671 0.402747 0.402683 0.402594 0.402865 0.403771 0.402764 0.403768 0.403353 0.404773 0.404744 0.404666 0.404517 0.404902 0.404192 0.404983 0.405356 0.405005 0.405282 0.404064 0.404573 0.404352 0.405229 0.403905 0.404474 0.405011 0.405104 0.405039 0.405235 0.405299 0.404298 0.404775 0.404945 0.404367 0.404705 0.404655 0.404987 0.404406 0.404019 0.403582 0.404674 0.404915 0.404808 0.404369 0.403713 0.403586 0.404742 0.403156 0.403157 0.402936 0.402765 0.403142 0.403007 0.402466 0.402912 0.402696 0.401502 0.401025 0.400844 0.400451 0.399382 0.400263 0.398733 0.398834 0.398004 0.399656 0.397622 0.398755 0.398729 0.395689 0.398243 0.39928 0.393699 0.387232 0.385856 0.389075 0.39266 0.395405 0.395766 0.395512 0.396731 0.396509 0.397371 0.395738 0.396437 0.396116 0.395926 0.396296 0.395771 0.397153 0.39629
64 0.396782 0.396963 0.39675 0.395882 0.397191 0.396764 0.395973 0.395844 0.396818 0.396573 0.394754 0.391815 0.388198 0.385636 0.387955 0.394633 0.398814 0.39648 0.395635 0.398424 0.398449 0.397896 0.399091 0.39834 0.398202 0.398638 0.400073 0.3998 0.40023 0.399608 0.400618 0.400599 0.401449 0.40166 0.40193 0.402085 0.402335 0.402262 0.402073 0.403061 0.402693 0.403118 0.403207 0.403368 0.402842 0.403204 0.403622 0.40405 0.404016 0.404155 0.403871 0.403984 0.404538 0.40514 0.404388 0.40496 0.404847 0.404587 0.403725 0.403503 0.405095 0.403677 0.404388 0.404477 0.403773 0.40471 0.404142 0.403981 0.404057 0.404114 0.404902 0.405008 0.404256 0.40369 0.404381 0.404097 0.403556 0.404383 0.403348 0.403698 0.405088 0.404115 0.403897 0.402935 0.402909 0.4026 0.402835 0.403373 0.403387 0.402341 0.402519 0.402924 0.401734 0.401833 0.401704 0.40113 0.40127 0.400404 0.399754 0.39978 0.39958 0.399916 0.398951 0.39895 0.397836 0.399392 0.397722 0.398315 0.398643 0.395805 0.397423 0.398833 0.394231 0.387042 0.385985 0.387873 0.393107 0.394852 0.394966 0.395944 0.396377 0.396727 0.396776 0.39684 0.395562 0.396848 0.395839 0.396309
68 0.396637 0.39647 0.396748 0.396516 0.396711 0.395778 0.396178 0.39459 0.390871 0.388124 0.38676 0.389068 0.39512 0.399279 0.396282 0.395186 0.397808 0.397792 0.397664 0.399078 0.398107 0.398095 0.399338 0.399026 0.399048 0.398461 0.399724 0.399758 0.40053 0.400652 0.400867 0.401395 0.402497 0.401808 0.402012 0.401253 0.401781 0.402041 0.402893 0.402235 0.402738 0.403167 0.402935 0.402652 0.403171 0.403624 0.403527 0.402615 0.402428 0.403063 0.404266 0.404292 0.404307 0.403859 0.404245 0.404464 0.403696 0.40436 0.404578 0.403863 0.40404 0.404074 0.403763 0.403811 0.403025 0.403831 0.403005 0.402888 0.404023 0.404007 0.404138 0.404851 0.40438 0.404054 0.404343 0.40362 0.4034 0.403154 0.403178 0.403852 0.403878 0.403163 0.403831 0.402447 0.403679 0.403433 0.403181 0.402497 0.402514 0.40221 0.402458 0.402671 0.400686 0.401963 0.401847 0.401625 0.401928 0.40113 0.400898 0.400576 0.399784 0.400692 0.398491 0.398488 0.39988 0.398603 0.398139 0.39821 0.398923 0.39804 0.398056 0.397106 0.394753 0.396789 0.398218 0.395142 0.389258 0.386875 0.387584 0.391435 0.394029 0.395512 0.396011 0.39757 0.39645 0.39716 0.395754 0.395973
72 0.395899 0.396443 0.396837 0.395243 0.393446 0.390964 0.387836 0.387381 0.390508 0.39615 0.398511 0.396462 0.395152 0.398259 0.397742 0.397453 0.398152 0.397099 0.39829 0.398632 0.399345 0.399156 0.397593 0.399244 0.399151 0.4 0.399821 0.400374 0.401033 0.40121 0.40135 0.402097 0.400482 0.401341 0.402325 0.401606 0.402187 0.402995 0.402318 0.401899 0.40231 0.402314 0.402861 0.402694 0.402629 0.403085 0.40298 0.402909 0.40342 0.40269 0.402974 0.403325 0.403122 0.404095 0.403896 0.40334 0.403996 0.404312 0.403733 0.403226 0.403629 0.403612 0.404149 0.403953 0.402763 0.4027 0.402852 0.402791 0.403377 0.403708 0.402351 0.404271 0.404634 0.404763 0.404256 0.403318 0.403044 0.403272 0.403182 0.402874 0.402542 0.402927 0.403418 0.403356 0.403355 0.402865 0.403152 0.402766 0.402633 0.401379 0.401855 0.40173 0.4019 0.401626 0.402245 0.402245 0.401927 0.401332 0.401476 0.400762 0.400086 0.399901 0.399904 0.398839 0.399341 0.398686 0.398856 0.399058 0.398476 0.397739 0.39783 0.398466 0.397094 0.397144 0.397422 0.395423 0.396821 0.398635 0.395378 0.390149 0.387261 0.387461 0.390712 0.394445 0.396026 0.395518 0.397056 0.396394
76 0.394562 0.393371 0.390522 0.387527 0.387452 0.391538 0.397066 0.397875 0.396093 0.395837 0.398384 0.397631 0.397635 0.398671 0.396994 0.397484 0.398564 0.398271 0.398554 0.397739 0.398548 0.398921 0.398557 0.400112 0.400295 0.400856 0.40021 0.400464 0.401002 0.40136 0.400734 0.401261 0.401363 0.401678 0.402367 0.401963 0.401738 0.401859 0.402258 0.402254 0.402562 0.402273 0.401886 0.402575 0.402697 0.402653 0.403096 0.402219 0.403114 0.401944 0.403583 0.40351 0.40201 0.402986 0.403668 0.402727 0.40339 0.403219 0.403406 0.403493 0.403271 0.403626 0.402434 0.403537 0.403606 0.403477 0.402703 0.402177 0.402438 0.403105 0.403545 0.403857 0.40296 0.403614 0.403699 0.403661 0.403867 0.402718 0.402938 0.402542 0.403227 0.402574 0.403272 0.40237 0.402643 0.4029 0.401959 0.402206 0.402472 0.402014 0.402637 0.402272 0.402011 0.401929 0.402088 0.401866 0.401217 0.400796 0.401593 0.400758 0.400505 0.400109 0.399556 0.400637 0.399095 0.39913 0.398938 0.399184 0.39759 0.399475 0.398101 0.39875 0.397318 0.397293 0.398668 0.397502 0.396566 0.397612 0.395752 0.395788 0.39878 0.396702 0.390818 0.38718 0.387743 0.390338 0.393434 0.395275
