#t U_0 U_1 U_2 U_3 U_4 U_5 U_6 U_7 U_8 U_9 U_10 U_11 U_12 U_13 U_14 U_15 U_16 U_17 U_18 U_19 U_20 U_21 U_22 U_23 U_24 U_25 U_26 U_27 U_28 U_29 U_30 U_31 U_32 U_33 U_34 U_35 U_36 U_37 U_38 U_39 U_40 U_41 U_42 U_43 U_44 U_45 U_46 U_47 U_48 U_49 U_50 U_51 U_52 U_53 U_54 U_55 U_56 U_57 U_58 U_59 U_60 U_61 U_62 U_63 U_64 U_65 U_66 U_67 U_68 U_69 U_70 U_71 U_72 U_73 U_74 U_75 U_76 U_77 U_78 U_79 U_80 U_81 U_82 U_83 U_84 U_85 U_86 U_87 U_88 U_89 U_90 U_91 U_92 U_93 U_94 U_95 U_96 U_97 U_98 U_99 U_100 U_101 U_102 U_103 U_104 U_105 U_106 U_107 U_108 U_109 U_110 U_111 U_112 U_113 U_114 U_115 U_116 U_117 U_118 U_119 U_120 U_121 U_122 U_123 U_124 U_125 U_126 U_127
264 0.400663 0.400261 0.39952 0.399763 0.400031 0.400472 0.400313 0.399608 0.400607 0.401382 0.400242 0.400148 0.400208 0.400405 0.400641 0.398948 0.39795 0.397855 0.397448 0.397169 0.397268 0.397623 0.398578 0.39858 0.399898 0.399365 0.399208 0.400086 0.401067 0.400596 0.400871 0.400249 0.400367 0.400205 0.400937 0.400238 0.399785 0.400292 0.400405 0.399986 0.400786 0.400341 0.400361 0.400289 0.400479 0.400426 0.399672 0.399679 0.399888 0.400666 0.401004 0.401451 0.400132 0.400818 0.400026 0.40012 0.400954 0.400203 0.399998 0.400162 0.399937 0.400492 0.400785 0.400374 0.401049 0.400659 0.40151 0.401761 0.401024 0.40062 0.401153 0.400356 0.399957 0.400894 0.40022 0.40082 0.400507 0.400913 0.400262 0.399815 0.400204 0.399668 0.400479 0.401093 0.401019 0.400687 0.400883 0.400565 0.399703 0.400269 0.400041 0.400601 0.400806 0.400479 0.400671 0.40038 0.400017 0.400728 0.400369 0.400596 0.400486 0.400385 0.399584 0.399568 0.398223 0.397845 0.397708 0.397355 0.398058 0.396405 0.397075 0.397335 0.398941 0.399961 0.399166 0.400384 0.399996 0.400317 0.399966 0.400312 0.400426 0.400447 0.400971 0.400255 0.400152 0.399918 0.400227 0.400491
268 0.400218 0.400187 0.400161 0.400353 0.399642 0.400112 0.400253 0.400689 0.401129 0.400757 0.400512 0.401261 0.40059 0.400205 0.400117 0.399938 0.399843 0.399894 0.398796 0.398224 0.39824 0.397116 0.397426 0.396738 0.397751 0.398017 0.399307 0.399095 0.400414 0.399794 0.400301 0.400073 0.399982 0.400485 0.401129 0.400233 0.399664 0.400573 0.399707 0.399321 0.400389 0.400675 0.401211 0.400256 0.399282 0.399699 0.400235 0.400738 0.400545 0.400403 0.400537 0.400343 0.400085 0.401071 0.401098 0.39986 0.400676 0.400356 0.400456 0.400729 0.400365 0.400036 0.400281 0.401232 0.400818 0.401155 0.400811 0.40101 0.400965 0.400608 0.401238 0.399883 0.400472 0.400905 0.40085 0.400372 0.400384 0.400828 0.400181 0.400526 0.400327 0.400003 0.400097 0.400691 0.400265 0.400291 0.400263 0.400899 0.400879 0.401079 0.399849 0.400789 0.400927 0.40028 0.400781 0.400902 0.399794 0.399613 0.399558 0.399229 0.399431 0.39922 0.398383 0.398036 0.397104 0.396953 0.397489 0.397381 0.398253 0.399154 0.399225 0.399815 0.399776 0.39983 0.399883 0.399393 0.400492 0.400877 0.400661 0.400137 0.400285 0.400622 0.400223 0.39999 0.400573 0.401052 0.400243 0.400208
272 0.400169 0.40025 0.400235 0.401163 0.400428 0.400574 0.401347 0.399814 0.400241 0.400202 0.400857 0.400723 0.400857 0.400641 0.400446 0.400502 0.400208 0.399962 0.398756 0.400183 0.399381 0.399763 0.398669 0.398178 0.397945 0.396822 0.397377 0.397785 0.397963 0.398806 0.398927 0.399705 0.399444 0.399722 0.40117 0.400852 0.399493 0.400087 0.400319 0.40021 0.399916 0.39935 0.399612 0.399708 0.401208 0.400242 0.400666 0.399808 0.400764 0.40038 0.400805 0.399742 0.399943 0.400615 0.400999 0.40132 0.400573 0.400916 0.40055 0.399797 0.400114 0.401043 0.401196 0.401113 0.401308 0.399661 0.400612 0.400993 0.399939 0.400321 0.401493 0.400723 0.400501 0.400671 0.400335 0.400488 0.400312 0.401193 0.401038 0.399722 0.400674 0.400169 0.400434 0.400325 0.399584 0.400182 0.400643 0.400708 0.401439 0.400916 0.401036 0.400593 0.400296 0.399984 0.39953 0.399734 0.399604 0.399605 0.39871 0.397894 0.396916 0.397618 0.397209 0.396968 0.39735 0.398685 0.400084 0.399967 0.399658 0.40036 0.400182 0.400003 0.398892 0.400615 0.399737 0.400153 0.400318 0.400067 0.401035 0.400491 0.400127 0.400476 0.400411 0.400875 0.400711 0.400159 0.400258 0.399764
276 0.400618 0.401201 0.400667 0.400602 0.399901 0.400657 0.400733 0.40105 0.401026 0.401012 0.399833 0.39979 0.399575 0.400408 0.401877 0.400531 0.39995 0.399836 0.400414 0.400242 0.400007 0.39935 0.399909 0.400837 0.39933 0.39853 0.39832 0.397193 0.397668 0.39753 0.396912 0.397589 0.398801 0.399542 0.399548 0.399012 0.400675 0.39974 0.400002 0.400209 0.399091 0.400232 0.400122 0.400064 0.399901 0.399893 0.399989 0.400537 0.400503 0.400149 0.400662 0.401175 0.400384 0.39978 0.40105 0.401278 0.39982 0.401374 0.400632 0.401308 0.400815 0.400604 0.400297 0.400564 0.400859 0.400473 0.401053 0.400421 0.399939 0.399876 0.40008 0.400964 0.400334 0.401314 0.401158 0.400831 0.40056 0.399874 0.400375 0.400831 0.401053 0.400469 0.399848 0.399923 0.401007 0.400782 0.400416 0.400434 0.40136 0.400771 0.400147 0.399329 0.399363 0.399575 0.39893 0.398557 0.398259 0.397404 0.398038 0.39716 0.397151 0.396931 0.397853 0.39924 0.400696 0.400358 0.400813 0.400043 0.400312 0.399732 0.400729 0.40011 0.400167 0.399288 0.400562 0.400147 0.400302 0.400569 0.400024 0.400829 0.4005 0.400403 0.401182 0.400553 0.400168 0.399781 0.399615 0.400339
280 0.400416 0.400208 0.40034 0.400306 0.40054 0.400448 0.401015 0.400857 0.400227 0.401006 0.400498 0.39995 0.400986 0.400527 0.399515 0.399749 0.400925 0.400001 0.400426 0.400845 0.400228 0.400952 0.399935 0.399339 0.399659 0.400278 0.400143 0.40009 0.398482 0.397629 0.398548 0.397725 0.396433 0.397694 0.397458 0.398303 0.39897 0.399115 0.399567 0.39936 0.399668 0.400161 0.399789 0.400445 0.400171 0.399789 0.399452 0.400299 0.400021 0.400252 0.40046 0.40063 0.401541 0.400823 0.400682 0.400746 0.400552 0.400579 0.401295 0.40001 0.401539 0.400672 0.400478 0.400783 0.40108 0.400508 0.399975 0.399433 0.400662 0.400641 0.400143 0.399927 0.400818 0.401235 0.401237 0.400145 0.400385 0.400914 0.400496 0.400671 0.399927 0.400597 0.401272 0.401538 0.400289 0.400866 0.400799 0.399474 0.399368 0.39971 0.399022 0.398947 0.398123 0.398313 0.397336 0.397451 0.397693 0.397022 0.397823 0.398365 0.399328 0.400009 0.399763 0.400235 0.40055 0.399884 0.40096 0.401529 0.400123 0.399531 0.400163 0.400125 0.399965 0.400221 0.400892 0.399993 0.400676 0.400557 0.400453 0.400281 0.400796 0.400641 0.399659 0.399891 0.400976 0.400687 0.40112 0.40027
284 0.400973 0.400373 0.399395 0.400603 0.400743 0.400742 0.400472 0.40012 0.400366 0.400264 0.401243 0.400545 0.400422 0.400678 0.401004 0.400393 0.39934 0.399734 0.400089 0.399932 0.400869 0.401106 0.40045 0.40086 0.400111 0.399974 0.399289 0.400448 0.400393 0.400154 0.399517 0.398515 0.39844 0.396985 0.39743 0.397614 0.397424 0.39746 0.397864 0.398807 0.399171 0.398534 0.399871 0.399612 0.400475 0.400228 0.400236 0.400182 0.399597 0.399833 0.399853 0.400388 0.401471 0.400939 0.401379 0.401187 0.401178 0.40002 0.39976 0.400029 0.401256 0.401257 0.400715 0.400838 0.400578 0.400324 0.400085 0.400372 0.400442 0.400054 0.400929 0.40078 0.400053 0.400752 0.400136 0.400348 0.401034 0.400765 0.400412 0.400125 0.401594 0.40109 0.401357 0.400798 0.399789 0.399584 0.399908 0.399057 0.398282 0.3981 0.397776 0.397517 0.397088 0.397209 0.397582 0.398937 0.399041 0.398318 0.399451 0.400337 0.399422 0.400566 0.400111 0.400817 0.400474 0.400325 0.400947 0.40113 0.400024 0.400298 0.400297 0.399933 0.400018 0.400592 0.399826 0.400735 0.401139 0.400526 0.4005 0.399796 0.399816 0.400673 0.400541 0.401261 0.400661 0.401244 0.400348 0.399837
288 0.399808 0.400039 0.400906 0.400674 0.400796 0.399884 0.399944 0.400624 0.400748 0.399992 0.400267 0.401026 0.400544 0.400579 0.400069 0.400744 0.400415 0.399785 0.400703 0.400399 0.400141 0.399953 0.40013 0.400789 0.400581 0.400702 0.400772 0.400386 0.399747 0.400255 0.399598 0.399216 0.399585 0.39985 0.399008 0.39845 0.398035 0.398028 0.397027 0.39679 0.396984 0.397326 0.399245 0.399199 0.399633 0.399916 0.400312 0.399652 0.39924 0.400601 0.400671 0.399989 0.40023 0.4006 0.401222 0.400744 0.400489 0.400628 0.400607 0.400616 0.400747 0.400024 0.400928 0.400797 0.399705 0.400549 0.400846 0.401223 0.400619 0.400282 0.400699 0.40103 0.39955 0.400572 0.40039 0.399611 0.401041 0.40096 0.401025 0.401256 0.400425 0.399607 0.400221 0.400321 0.399607 0.39811 0.398212 0.397086 0.397783 0.397759 0.397431 0.397133 0.398092 0.399384 0.399336 0.399995 0.400143 0.400162 0.399738 0.399897 0.399946 0.399433 0.40067 0.400797 0.400564 0.400608 0.400799 0.401378 0.399963 0.400176 0.400775 0.400221 0.400793 0.400455 0.400079 0.399907 0.400123 0.400302 0.400884 0.401047 0.400011 0.400877 0.400692 0.400713 0.399985 0.401114 0.401261 0.400251
292 0.400353 0.401769 0.400707 0.400309 0.399912 0.40004 0.401291 0.400035 0.400063 0.400193 0.400509 0.40063 0.399408 0.400011 0.400789 0.401003 0.400676 0.400556 0.400543 0.400744 0.400107 0.400904 0.399549 0.399985 0.400129 0.399968 0.400761 0.401041 0.400242 0.400343 0.400807 0.399743 0.398787 0.400029 0.400312 0.399834 0.399894 0.398496 0.398354 0.398467 0.397828 0.396883 0.397376 0.397145 0.398154 0.399007 0.39945 0.399049 0.399401 0.400342 0.400307 0.399596 0.400103 0.400554 0.400167 0.400429 0.400874 0.400322 0.400379 0.400305 0.401025 0.400641 0.400553 0.400272 0.400562 0.400415 0.400675 0.400225 0.401711 0.400381 0.401028 0.400549 0.400412 0.40021 0.401305 0.400079 0.400538 0.400154 0.3995 0.400064 0.399738 0.399589 0.398323 0.398633 0.397788 0.397907 0.397255 0.396894 0.397972 0.398815 0.399288 0.399402 0.400528 0.399822 0.399631 0.400028 0.400411 0.400519 0.400529 0.399044 0.400366 0.400064 0.400495 0.399585 0.400872 0.400715 0.400252 0.401258 0.400499 0.400922 0.400727 0.400487 0.399953 0.400633 0.400579 0.400436 0.400253 0.400561 0.401054 0.400394 0.400192 0.400053 0.401091 0.400267 0.401252 0.400354 0.400211 0.400107
296 0.400559 0.401544 0.40044 0.401227 0.400613 0.4002 0.400118 0.399691 0.399824 0.400403 0.399811 0.400595 0.400004 0.400661 0.400519 0.400225 0.401327 0.400646 0.400417 0.400508 0.400091 0.400093 0.400908 0.400536 0.399897 0.400114 0.400162 0.40015 0.400007 0.400332 0.401259 0.40031 0.400585 0.400072 0.399625 0.399495 0.399643 0.399431 0.400343 0.400258 0.399373 0.398903 0.398103 0.398748 0.396759 0.3973 0.398041 0.397715 0.397896 0.399002 0.398979 0.399987 0.399974 0.399166 0.400324 0.400477 0.400437 0.400112 0.400069 0.400782 0.400034 0.401231 0.400653 0.400354 0.400964 0.400433 0.400239 0.400904 0.400387 0.40072 0.400717 0.400579 0.402298 0.400842 0.400369 0.399737 0.398815 0.398973 0.398587 0.39876 0.398103 0.397984 0.398003 0.397346 0.397236 0.397651 0.398837 0.399535 0.399504 0.400709 0.400308 0.400539 0.399909 0.400307 0.400531 0.399961 0.400448 0.399642 0.399974 0.400805 0.400048 0.400024 0.399914 0.400294 0.401216 0.399809 0.400614 0.400789 0.400809 0.4002 0.399935 0.400927 0.401207 0.400765 0.40053 0.4008 0.400793 0.400672 0.399961 0.400617 0.400676 0.400176 0.400392 0.400556 0.40057 0.400472 0.399655 0.400872
300 0.401419 0.401078 0.400364 0.401266 0.400615 0.399457 0.400076 0.399646 0.401135 0.399917 0.399649 0.400631 0.400371 0.401108 0.400322 0.400955 0.400488 0.399301 0.400456 0.400105 0.400857 0.400177 0.400756 0.400243 0.400599 0.400599 0.400952 0.399965 0.399786 0.400327 0.399509 0.400254 0.401244 0.399978 0.399571 0.400075 0.401343 0.399746 0.400336 0.400209 0.399691 0.4002 0.399898 0.400431 0.399312 0.39768 0.397599 0.397275 0.397106 0.397305 0.397351 0.398351 0.398589 0.398887 0.399395 0.399936 0.399746 0.400678 0.400827 0.400553 0.400112 0.399922 0.400921 0.40015 0.400678 0.401079 0.400301 0.400929 0.40059 0.400761 0.401311 0.40015 0.400105 0.39945 0.40009 0.398967 0.398559 0.398117 0.397174 0.397398 0.397551 0.397473 0.397513 0.398702 0.399538 0.399534 0.400124 0.400632 0.400093 0.400494 0.400375 0.401089 0.400955 0.400079 0.400236 0.399654 0.400246 0.40071 0.399505 0.400341 0.400159 0.400706 0.400473 0.399778 0.400722 0.40073 0.399919 0.400361 0.400547 0.400484 0.400775 0.400082 0.401033 0.401069 0.400455 0.40171 0.400647 0.399879 0.400404 0.40127 0.400539 0.400498 0.399611 0.400268 0.400392 0.400562 0.400808 0.399828
304 0.401127 0.399653 0.401102 0.400064 0.399696 0.400314 0.400642 0.400503 0.400222 0.401183 0.40064 0.400859 0.400375 0.399405 0.399654 0.399925 0.401024 0.400438 0.39989 0.40031 0.400365 0.400233 0.401347 0.400312 0.400495 0.40082 0.400237 0.400006 0.400331 0.400445 0.400241 0.400113 0.399833 0.399401 0.399941 0.40132 0.400957 0.400815 0.400756 0.400774 0.400334 0.400247 0.399077 0.400179 0.399904 0.400122 0.399075 0.399069 0.397913 0.397695 0.397595 0.39718 0.396737 0.397188 0.398368 0.399182 0.399252 0.399605 0.399708 0.40089 0.40011 0.399941 0.400439 0.400254 0.400808 0.400912 0.401291 0.400037 0.399991 0.399737 0.400051 0.39908 0.399379 0.398792 0.398484 0.397958 0.397002 0.397144 0.398433 0.398314 0.399059 0.399148 0.399618 0.399555 0.399874 0.400014 0.400066 0.400655 0.400864 0.401366 0.400273 0.399945 0.400184 0.400475 0.400697 0.400144 0.400272 0.40048 0.400221 0.400064 0.40008 0.400579 0.40033 0.400166 0.400264 0.400754 0.400811 0.400351 0.399426 0.401429 0.400852 0.400386 0.400618 0.400036 0.400679 0.401259 0.400391 0.401142 0.401344 0.400622 0.399874 0.399809 0.400348 0.400419 0.400959 0.40062 0.400605 0.400634
308 0.399924 0.399788 0.400878 0.400361 0.400482 0.400568 0.400608 0.400743 0.400524 0.401122 0.400849 0.399829 0.399582 0.400768 0.400549 0.399179 0.399392 0.400401 0.40055 0.400469 0.401488 0.401033 0.400286 0.399556 0.399758 0.400794 0.400618 0.400379 0.400322 0.400178 0.400185 0.40016 0.400675 0.400297 0.400563 0.400617 0.40028 0.400559 0.401089 0.400877 0.400789 0.400335 0.39974 0.400236 0.399532 0.39933 0.398985 0.400436 0.399222 0.40028 0.399515 0.398214 0.397771 0.39688 0.397678 0.397435 0.398166 0.397821 0.399131 0.398999 0.399024 0.39953 0.401051 0.400972 0.400316 0.400514 0.399129 0.399357 0.398473 0.398997 0.398533 0.398372 0.398649 0.397566 0.397221 0.398369 0.398337 0.39886 0.399467 0.400352 0.40014 0.399998 0.40096 0.398947 0.400909 0.400157 0.400129 0.401062 0.400143 0.399773 0.400618 0.400832 0.400863 0.399142 0.40054 0.400408 0.400577 0.401046 0.400681 0.399451 0.400158 0.399785 0.40107 0.400723 0.400795 0.399525 0.400449 0.400262 0.400904 0.401092 0.40077 0.400025 0.400711 0.400462 0.400601 0.400314 0.400398 0.401356 0.400356 0.399893 0.400729 0.401366 0.400724 0.399871 0.400497 0.400987 0.40039 0.400547
312 0.400614 0.400687 0.400189 0.400792 0.401993 0.401044 0.3999 0.399715 0.400755 0.400257 0.400204 0.400484 0.400286 0.40039 0.400498 0.399755 0.399755 0.400725 0.400544 0.400191 0.400821 0.400675 0.400155 0.400653 0.399826 0.399966 0.400413 0.40095 0.399953 0.399984 0.400431 0.400603 0.400321 0.401494 0.400787 0.400677 0.400369 0.40011 0.40061 0.401194 0.400305 0.400233 0.3996 0.399068 0.400497 0.399729 0.400554 0.400452 0.399281 0.399605 0.400116 0.400158 0.399795 0.399242 0.398798 0.398323 0.397107 0.397695 0.397017 0.397668 0.398035 0.398901 0.398666 0.399013 0.399653 0.398688 0.397616 0.397643 0.398644 0.398304 0.397714 0.39734 0.39815 0.398364 0.399563 0.399977 0.400054 0.398919 0.400682 0.400868 0.399808 0.400612 0.400498 0.400883 0.400609 0.400269 0.400727 0.400142 0.399805 0.399881 0.400291 0.400463 0.400355 0.400631 0.401216 0.400259 0.399405 0.399845 0.401137 0.400631 0.400962 0.400701 0.399955 0.39997 0.400527 0.399978 0.400981 0.40015 0.400491 0.400829 0.401185 0.401 0.400385 0.400396 0.399988 0.400187 0.40045 0.400541 0.400029 0.400617 0.400939 0.400819 0.400709 0.400836 0.40063 0.399909 0.39956 0.400001
316 0.400441 0.400499 0.401258 0.401031 0.400084 0.399883 0.401276 0.400842 0.399899 0.400135 0.400064 0.400866 0.400237 0.400646 0.400051 0.400844 0.400213 0.400354 0.400267 0.3999 0.400196 0.400807 0.400179 0.399829 0.400635 0.400872 0.400744 0.400546 0.400102 0.399533 0.400982 0.400054 0.400755 0.400919 0.400771 0.400172 0.401833 0.400372 0.400052 0.400102 0.400205 0.400259 0.399961 0.399434 0.399935 0.40022 0.40009 0.400609 0.400364 0.400399 0.400729 0.399426 0.399579 0.400107 0.399912 0.400031 0.399844 0.398926 0.39751 0.396679 0.396452 0.396673 0.396373 0.396497 0.395975 0.396619 0.397268 0.397 0.397898 0.397797 0.397953 0.399489 0.400534 0.400047 0.399807 0.399967 0.400086 0.399963 0.400799 0.400505 0.400253 0.401271 0.40069 0.399774 0.400492 0.401102 0.400466 0.399642 0.400512 0.400463 0.399433 0.400677 0.400525 0.400425 0.400604 0.400365 0.400437 0.400491 0.400554 0.3998 0.400982 0.400673 0.40021 0.400616 0.40017 0.400372 0.400289 0.401145 0.39991 0.401339 0.400828 0.400487 0.399961 0.400618 0.400652 0.400718 0.39993 0.399557 0.400929 0.400838 0.400282 0.400288 0.400784 0.400093 0.400159 0.39986 0.400541 0.400627
320 0.399705 0.400557 0.401803 0.400163 0.400293 0.40037 0.400376 0.400344 0.401207 0.400166 0.40018 0.40061 0.401294 0.400383 0.400668 0.400646 0.39927 0.399702 0.400383 0.400446 0.400185 0.399864 0.400919 0.401068 0.400704 0.40069 0.39969 0.400788 0.401109 0.400196 0.399823 0.400717 0.399851 0.400692 0.400525 0.400754 0.400874 0.400285 0.399861 0.40064 0.400352 0.399837 0.400376 0.401239 0.399495 0.399807 0.399522 0.40051 0.400046 0.400911 0.400752 0.399748 0.40084 0.400543 0.399854 0.399576 0.39887 0.399056 0.398896 0.398057 0.396984 0.395699 0.395193 0.395025 0.394615 0.394816 0.395542 0.39723 0.398664 0.398751 0.399807 0.399709 0.399709 0.3998 0.400306 0.400781 0.400946 0.400597 0.400316 0.400048 0.40108 0.399638 0.400731 0.399524 0.400384 0.401608 0.400426 0.399973 0.400576 0.399991 0.400058 0.400291 0.400919 0.400558 0.400197 0.400412 0.40144 0.400346 0.3999 0.400371 0.400515 0.400278 0.400171 0.399785 0.401711 0.401099 0.40032 0.400722 0.400488 0.400878 0.399514 0.400375 0.4007 0.400539 0.400528 0.400616 0.400597 0.400212 0.400319 0.400306 0.40036 0.399518 0.400384 0.400401 0.400121 0.400457 0.400193 0.40085
324 0.400137 0.400841 0.400129 0.400803 0.400862 0.400987 0.400196 0.400124 0.40051 0.400562 0.401211 0.401273 0.400734 0.400256 0.399883 0.399918 0.400625 0.400805 0.399626 0.399777 0.400135 0.400618 0.400829 0.400642 0.40056 0.401482 0.400859 0.399539 0.400392 0.40035 0.40111 0.400711 0.400061 0.399872 0.400098 0.399603 0.400326 0.400496 0.400989 0.400665 0.40052 0.400385 0.400516 0.399852 0.399429 0.401507 0.400817 0.399841 0.399579 0.399767 0.400409 0.400142 0.400773 0.399667 0.399393 0.400137 0.398287 0.39759 0.397221 0.397463 0.397868 0.397029 0.396693 0.396735 0.396214 0.396727 0.397308 0.397364 0.397367 0.398208 0.397978 0.399031 0.399371 0.400633 0.400003 0.400581 0.401029 0.40056 0.399886 0.400475 0.399875 0.400266 0.400089 0.400142 0.40019 0.400679 0.399919 0.40079 0.400995 0.400455 0.400475 0.400379 0.399801 0.400758 0.400293 0.400644 0.400736 0.401134 0.400024 0.400654 0.399788 0.400302 0.400344 0.400641 0.400927 0.401035 0.400513 0.400589 0.400779 0.40065 0.400169 0.399547 0.400424 0.400729 0.400616 0.400291 0.400925 0.40005 0.400219 0.400027 0.399839 0.40108 0.40028 0.400581 0.400304 0.399717 0.399869 0.399521
328 0.400066 0.40011 0.400209 0.400269 0.400427 0.401141 0.400883 0.400507 0.401011 0.400523 0.399837 0.401085 0.400324 0.401244 0.400244 0.39971 0.400194 0.400893 0.400951 0.400255 0.40044 0.400622 0.400619 0.399974 0.3999 0.401394 0.400506 0.400699 0.400786 0.400458 0.400145 0.400068 0.399919 0.400679 0.400883 0.399313 0.399571 0.401007 0.400666 0.399817 0.401147 0.400638 0.399759 0.401184 0.400345 0.399939 0.400311 0.400234 0.400759 0.399466 0.399681 0.398245 0.399107 0.398933 0.397973 0.398859 0.397934 0.398698 0.397808 0.397389 0.397992 0.397605 0.39861 0.399292 0.399219 0.399447 0.399112 0.397888 0.397355 0.398378 0.398217 0.398354 0.398303 0.39869 0.399147 0.399569 0.400196 0.399665 0.400686 0.399931 0.399681 0.399609 0.400752 0.400386 0.399703 0.400698 0.400269 0.400245 0.400601 0.400816 0.40086 0.400838 0.399909 0.400739 0.399735 0.400195 0.400557 0.400945 0.401038 0.400211 0.400201 0.400585 0.400733 0.401078 0.400552 0.400783 0.399595 0.400627 0.400204 0.400833 0.401365 0.399942 0.40024 0.400475 0.399842 0.39992 0.40049 0.400931 0.400071 0.400354 0.400787 0.400066 0.400205 0.400336 0.400405 0.39959 0.400329 0.399274
332 0.400311 0.399433 0.39994 0.39988 0.400422 0.400934 0.400947 0.399728 0.400879 0.400203 0.400537 0.400842 0.401034 0.400433 0.400151 0.401013 0.400008 0.401388 0.400234 0.400604 0.400368 0.400992 0.400641 0.400679 0.400913 0.399497 0.400346 0.400151 0.400904 0.399755 0.40038 0.400688 0.400558 0.400597 0.400652 0.40006 0.400135 0.39991 0.40017 0.400385 0.401304 0.400147 0.399903 0.400234 0.400788 0.40043 0.39924 0.399486 0.399351 0.39921 0.398191 0.397895 0.39849 0.398258 0.39776 0.397974 0.398067 0.398653 0.399413 0.398691 0.39986 0.399848 0.39976 0.39931 0.399017 0.399363 0.401 0.399865 0.400633 0.39907 0.398881 0.398911 0.397576 0.397996 0.397692 0.398182 0.398736 0.398799 0.399551 0.400133 0.39959 0.399055 0.39998 0.39976 0.400289 0.401252 0.400666 0.400019 0.400743 0.399717 0.400666 0.400817 0.400719 0.400659 0.399826 0.400313 0.400787 0.400122 0.399976 0.400593 0.401204 0.401416 0.400874 0.400471 0.399958 0.40029 0.400883 0.400677 0.400102 0.399592 0.401088 0.399762 0.401452 0.400706 0.399639 0.401245 0.39984 0.400282 0.399925 0.399887 0.400523 0.399909 0.400308 0.400066 0.400058 0.400254 0.400706 0.399985
336 0.400382 0.400358 0.40037 0.400207 0.399433 0.399486 0.40032 0.400421 0.400468 0.400284 0.400228 0.401018 0.401461 0.400398 0.400607 0.401597 0.399972 0.3999 0.40051 0.400792 0.400472 0.401457 0.400762 0.400808 0.400447 0.400544 0.399673 0.399797 0.400521 0.400541 0.40035 0.39998 0.400154 0.400659 0.40107 0.400603 0.400898 0.399947 0.400061 0.400705 0.400741 0.399892 0.400018 0.399932 0.398887 0.39808 0.398942 0.398599 0.398352 0.398456 0.39778 0.398041 0.397962 0.398338 0.399548 0.399297 0.399289 0.399838 0.400296 0.399241 0.399577 0.399495 0.399717 0.400435 0.40134 0.401096 0.400282 0.399415 0.40031 0.399788 0.400254 0.400233 0.399583 0.398786 0.39779 0.397987 0.398288 0.398509 0.397624 0.398133 0.398691 0.399782 0.399072 0.399925 0.399987 0.40013 0.399414 0.400683 0.400926 0.400491 0.400559 0.400726 0.400346 0.399488 0.400058 0.400011 0.401511 0.400946 0.400443 0.400334 0.40073 0.400368 0.400363 0.400515 0.401168 0.400659 0.400026 0.400413 0.400397 0.400189 0.400377 0.400757 0.400741 0.40087 0.400441 0.400743 0.399736 0.39989 0.400335 0.399458 0.399607 0.4002 0.400041 0.400856 0.400226 0.399849 0.400085 0.400622
340 0.400133 0.400387 0.399678 0.399967 0.400571 0.399903 0.399586 0.400275 0.400303 0.399812 0.400895 0.400154 0.401477 0.400392 0.401107 0.400271 0.400672 0.400143 0.40124 0.400092 0.400843 0.400717 0.40095 0.400737 0.400339 0.400448 0.400302 0.400374 0.401059 0.399739 0.400316 0.400696 0.400203 0.399946 0.40037 0.400624 0.400326 0.401206 0.400867 0.400681 0.399509 0.399456 0.398615 0.398257 0.397281 0.397821 0.39814 0.397594 0.397556 0.398509 0.398482 0.399129 0.399637 0.399852 0.400059 0.400092 0.400207 0.400331 0.399587 0.399891 0.401017 0.400405 0.399876 0.400011 0.400636 0.399933 0.401063 0.400472 0.40066 0.400872 0.400065 0.399362 0.400337 0.399647 0.400359 0.399401 0.398773 0.398401 0.398533 0.398693 0.397567 0.397252 0.398225 0.398661 0.399458 0.399815 0.399872 0.400146 0.400004 0.399805 0.400825 0.40066 0.400033 0.399975 0.400384 0.399884 0.400331 0.401167 0.400845 0.400549 0.400055 0.401015 0.40006 0.400452 0.400467 0.399467 0.400403 0.40137 0.400629 0.400823 0.401208 0.400743 0.399654 0.400113 0.400699 0.400419 0.399847 0.400698 0.399084 0.399996 0.40073 0.399954 0.400083 0.400006 0.39955 0.40103 0.400363 0.400318
344 0.399833 0.400209 0.400832 0.40005 0.399198 0.400442 0.400555 0.400012 0.399899 0.400452 0.400723 0.400499 0.400524 0.399745 0.400291 0.400387 0.400537 0.401269 0.401056 0.400033 0.400498 0.400405 0.400805 0.400622 0.401162 0.400646 0.400536 0.399839 0.401125 0.400348 0.400674 0.400783 0.400327 0.400327 0.399948 0.400495 0.399562 0.400331 0.399388 0.399372 0.399151 0.398575 0.397893 0.397715 0.397089 0.397624 0.397952 0.398038 0.398874 0.399628 0.399142 0.399204 0.400655 0.400226 0.400798 0.400775 0.400122 0.400261 0.40049 0.401184 0.401194 0.40033 0.400544 0.399879 0.399768 0.399275 0.400587 0.400752 0.400426 0.401345 0.401107 0.400532 0.400351 0.399753 0.39904 0.400527 0.400413 0.400301 0.398926 0.398983 0.398483 0.398668 0.39778 0.397359 0.398176 0.398587 0.399103 0.399393 0.399751 0.40003 0.399053 0.400637 0.399828 0.400073 0.400301 0.400465 0.399758 0.400503 0.400399 0.400747 0.400587 0.399977 0.399858 0.400651 0.401216 0.4002 0.400239 0.401015 0.400574 0.400301 0.399932 0.400698 0.400996 0.400848 0.400087 0.400327 0.400478 0.399151 0.400167 0.400471 0.399884 0.400132 0.400577 0.399834 0.400829 0.400155 0.400023 0.399551
