#nt x y x_var y_var r_var
335 -1.397000e-01 -1.211600e-01 -1.069600e-01 4.516524e+01 4.460706e+01 4.505382e+01 1.348261e+02
368 -1.453600e-01 -1.259300e-01 -1.229700e-01 4.733649e+01 4.674201e+01 4.725345e+01 1.413320e+02
405 -1.466100e-01 -1.380200e-01 -1.316700e-01 4.985724e+01 4.921855e+01 4.983053e+01 1.489063e+02
446 -1.431800e-01 -1.521200e-01 -1.304500e-01 5.271514e+01 5.214420e+01 5.266311e+01 1.575225e+02
490 -1.483900e-01 -1.534800e-01 -1.404300e-01 5.558913e+01 5.530502e+01 5.571437e+01 1.666085e+02
539 -1.574700e-01 -1.681100e-01 -1.450600e-01 5.899535e+01 5.875095e+01 5.923334e+01 1.769796e+02
593 -1.666300e-01 -1.769700e-01 -1.652500e-01 6.293374e+01 6.265779e+01 6.335514e+01 1.889467e+02
653 -1.676800e-01 -1.896400e-01 -1.575300e-01 6.711908e+01 6.693524e+01 6.762281e+01 2.016771e+02
718 -1.828800e-01 -1.788900e-01 -1.704800e-01 7.196005e+01 7.184489e+01 7.221258e+01 2.160175e+02
790 -1.870500e-01 -1.666900e-01 -1.816300e-01 7.741092e+01 7.719116e+01 7.723700e+01 2.318391e+02
869 -1.920800e-01 -1.755600e-01 -1.821400e-01 8.327657e+01 8.311226e+01 8.272603e+01 2.491148e+02
956 -2.001700e-01 -1.785900e-01 -2.036000e-01 8.976516e+01 8.946196e+01 8.932513e+01 2.685522e+02
1051 -1.993600e-01 -1.667500e-01 -2.030200e-01 9.683702e+01 9.612428e+01 9.625974e+01 2.892210e+02
1156 -2.005800e-01 -1.755400e-01 -2.095100e-01 1.042766e+02 1.040511e+02 1.042404e+02 3.125681e+02
1272 -1.996000e-01 -1.738400e-01 -2.257300e-01 1.130306e+02 1.131196e+02 1.126749e+02 3.388250e+02
1399 -2.039100e-01 -2.093300e-01 -2.358600e-01 1.228431e+02 1.223374e+02 1.220516e+02 3.672320e+02
1539 -2.021900e-01 -2.039500e-01 -2.539000e-01 1.334950e+02 1.325621e+02 1.327409e+02 3.987980e+02
1693 -1.979100e-01 -2.188500e-01 -2.647300e-01 1.449572e+02 1.438041e+02 1.446876e+02 4.334490e+02
1862 -1.922200e-01 -2.305100e-01 -2.535800e-01 1.574408e+02 1.568965e+02 1.574291e+02 4.717663e+02
2048 -2.008200e-01 -2.269500e-01 -2.439400e-01 1.714042e+02 1.705373e+02 1.714852e+02 5.134267e+02
2253 -2.025400e-01 -2.310600e-01 -2.578600e-01 1.864853e+02 1.862857e+02 1.865901e+02 5.593610e+02
2479 -2.124900e-01 -2.537700e-01 -2.796600e-01 2.031689e+02 2.020375e+02 2.042100e+02 6.094163e+02
2726 -2.305500e-01 -2.619000e-01 -2.664300e-01 2.214661e+02 2.206035e+02 2.227146e+02 6.647842e+02
2999 -2.353800e-01 -2.680500e-01 -2.571100e-01 2.415077e+02 2.399059e+02 2.423045e+02 7.237181e+02
3299 -2.375600e-01 -2.600200e-01 -2.748700e-01 2.644614e+02 2.630678e+02 2.648372e+02 7.923664e+02
3629 -2.594600e-01 -2.657100e-01 -2.948700e-01 2.883161e+02 2.885437e+02 2.879647e+02 8.648245e+02
3992 -2.705200e-01 -2.629600e-01 -3.155500e-01 3.150196e+02 3.156974e+02 3.149385e+02 9.456555e+02
4391 -2.805400e-01 -2.796000e-01 -3.402300e-01 3.435307e+02 3.446525e+02 3.440294e+02 1.032213e+03
4830 -2.816800e-01 -2.911100e-01 -3.318100e-01 3.756237e+02 3.768119e+02 3.763450e+02 1.128781e+03
5313 -2.698000e-01 -2.799100e-01 -3.549300e-01 4.107201e+02 4.114670e+02 4.125644e+02 1.234752e+03
5844 -2.718400e-01 -2.429800e-01 -3.629700e-01 4.490792e+02 4.503130e+02 4.518727e+02 1.351265e+03
6429 -2.996000e-01 -2.534700e-01 -3.341900e-01 4.916080e+02 4.918116e+02 4.938138e+02 1.477233e+03
7072 -2.980100e-01 -2.398800e-01 -3.762700e-01 5.365607e+02 5.389187e+02 5.390898e+02 1.614569e+03
7779 -2.593500e-01 -2.592700e-01 -3.572400e-01 5.864079e+02 5.897744e+02 5.892156e+02 1.765398e+03
8557 -2.669100e-01 -2.466800e-01 -3.763600e-01 6.403816e+02 6.460947e+02 6.458866e+02 1.932363e+03
9412 -2.376700e-01 -2.462500e-01 -3.752600e-01 6.988235e+02 7.066477e+02 7.077582e+02 2.113229e+03
10354 -2.188600e-01 -2.126300e-01 -4.435000e-01 7.665841e+02 7.743305e+02 7.729465e+02 2.313861e+03
11389 -2.109000e-01 -1.834100e-01 -4.105700e-01 8.407510e+02 8.473393e+02 8.474974e+02 2.535588e+03
12528 -1.830700e-01 -1.803300e-01 -3.805000e-01 9.214148e+02 9.272852e+02 9.277284e+02 2.776428e+03
13781 -1.509100e-01 -2.064300e-01 -3.910000e-01 1.009669e+03 1.015513e+03 1.018070e+03 3.043252e+03
15159 -1.386800e-01 -1.330600e-01 -3.700000e-01 1.106106e+03 1.113984e+03 1.113007e+03 3.333098e+03
16675 -1.207000e-01 -1.094400e-01 -3.577200e-01 1.215134e+03 1.220852e+03 1.214888e+03 3.650874e+03
18342 -1.673000e-01 -1.530200e-01 -3.452800e-01 1.332266e+03 1.339031e+03 1.328994e+03 4.000291e+03
20176 -1.268100e-01 -1.374000e-01 -3.295200e-01 1.461746e+03 1.466673e+03 1.459054e+03 4.387472e+03
22194 -1.429100e-01 -1.121900e-01 -3.107700e-01 1.601838e+03 1.607251e+03 1.595890e+03 4.804978e+03
24413 -1.257500e-01 -1.329300e-01 -2.991200e-01 1.753372e+03 1.751352e+03 1.742828e+03 5.247552e+03
26855 -1.133000e-01 -1.660300e-01 -3.013800e-01 1.912231e+03 1.929831e+03 1.913043e+03 5.755105e+03
29540 -1.329500e-01 -1.445000e-01 -2.760500e-01 2.087526e+03 2.119206e+03 2.097540e+03 6.304271e+03
32494 -3.693000e-02 -1.649500e-01 -3.223100e-01 2.286332e+03 2.327859e+03 2.302798e+03 6.916989e+03
35743 -2.889000e-02 -1.200500e-01 -3.546100e-01 2.515266e+03 2.552816e+03 2.520687e+03 7.588769e+03
39318 -6.910000e-02 -1.201900e-01 -3.400800e-01 2.749707e+03 2.790143e+03 2.764741e+03 8.304591e+03
43249 -6.858000e-02 -2.039000e-02 -3.996400e-01 3.018806e+03 3.060457e+03 3.035316e+03 9.114579e+03
